Ticker,weight,marginal_risk,component_risk,percentage_risk
QQQ,0.1,0.20258084013761526,0.02025808401376153,0.1269061605822357
VUG,0.1,0.1999802079759409,0.019998020797594093,0.12527700235335001
VTI,0.1,0.17458744502054285,0.017458744502054285,0.10936978205030792
SPY,0.1,0.17440482518986003,0.017440482518986004,0.10925538040431618
IVV,0.1,0.16814005235367582,0.016814005235367583,0.10533083222384688
VOO,0.1,0.16612920743856285,0.016612920743856285,0.10407114444917902
VEA,0.1,0.15187560277504922,0.015187560277504923,0.09514201649672913
IEFA,0.1,0.15075735747550328,0.015075735747550329,0.09444149507793105
VTV,0.1,0.12472583026167557,0.012472583026167557,0.07813412281827058
GLD,0.1,0.08312285496631522,0.008312285496631521,0.052072063543833536
