Ticker,weight,marginal_risk,component_risk,percentage_risk
QQQ,0.2,0.18832120519597462,0.037664241039194926,0.22946514363522164
VUG,0.2,0.1847086262205271,0.036941725244105425,0.22506329758377994
VEA,0.2,0.15715712364816747,0.0314314247296335,0.19149241273014045
IEFA,0.2,0.1546391670867588,0.03092783341735176,0.18842433941662468
GLD,0.2,0.13587022506959867,0.027174045013919734,0.1655548066342333
SPY,1.3126819816653609e-17,0.15426745029885827,2.0250410236476784e-18,1.2337334207132168e-17
VOO,0.0,0.14704218472576552,0.0,0.0
IVV,0.0,0.14898103105298285,0.0,0.0
VTI,0.0,0.15466866743849486,0.0,0.0
VTV,0.0,0.10766848078300097,0.0,0.0
