Index,split,baseline_ticker,samples,baseline_mean_raw_return,policy_mean_raw_return,policy_mean_excess_return,t_statistic,p_value,significant_outperformance
0,train,VOO,1656,0.0005478420191340976,0.00853964313864708,0.007991800849564409,38.304214858540064,,True
1,train,IVV,1656,0.0005477377829920266,0.00853964313864708,0.00799190508570648,38.23433371320331,,True
2,train,SPY,1656,0.0005435029377683925,0.00853964313864708,0.007996139930930115,38.702675469801505,,True
3,train,VTI,1656,0.0005234647272289664,0.00853964313864708,0.008016178141469541,38.093294840104825,,True
4,train,QQQ,1656,0.0007614889294628935,0.00853964313864708,0.007778153939235613,30.037047409317147,,True
5,train,VEA,1656,0.00022166193539393698,0.00853964313864708,0.00831798093330457,39.97217643738242,,True
6,train,VUG,1656,0.0006789477623027304,0.00853964313864708,0.007860695106395777,31.874878038892067,,True
7,train,GLD,1656,0.0003955919961422538,0.00853964313864708,0.008144050872556253,30.419835594142516,,True
8,train,IEFA,1656,0.00021994815788407257,0.00853964313864708,0.008319694710814434,39.43490234586606,,True
9,train,VTV,1656,0.0004200234217344275,0.00853964313864708,0.00811961944696408,35.75996910317814,,True
10,validation,VOO,414,0.0006211672140204388,0.009809290990233421,0.009188124954988415,19.712903966565726,,True
11,validation,IVV,414,0.0006225474790674477,0.009809290990233421,0.009186744689941406,19.69166463604934,,True
12,validation,SPY,414,0.0006223958759492146,0.009809290990233421,0.009186896293059639,19.437289092772456,,True
13,validation,VTI,414,0.0006265975714881639,0.009809290990233421,0.00918269459752069,19.46755162188868,,True
14,validation,QQQ,414,0.0007603935861357168,0.009809290990233421,0.009048898582873137,16.5403217384575,,True
15,validation,VEA,414,0.0008714256655190878,0.009809290990233421,0.008937866503489766,20.644879596172437,,True
16,validation,VUG,414,0.0006560336276528916,0.009809290990233421,0.009153258541355963,16.31336238579244,,True
17,validation,GLD,414,0.0016914449164256958,0.009809290990233421,0.008117847252583158,13.24588602351076,,True
18,validation,IEFA,414,0.0007642251281922566,0.009809290990233421,0.009045067040816597,20.303512254932933,,True
19,validation,VTV,414,0.000588315120641736,0.009809290990233421,0.009220977048367118,19.592352945868164,,True
20,all,VOO,2070,0.0005625070581113658,0.008793572895228863,0.00823106567064921,43.00094997745195,,True
21,all,IVV,2070,0.0005626997222071109,0.008793572895228863,0.008230873006553466,42.930587395047255,,True
22,all,SPY,2070,0.0005592815254045569,0.008793572895228863,0.008234291203356019,43.19303999486915,,True
23,all,VTI,2070,0.0005440912960808058,0.008793572895228863,0.00824948143267977,42.69959936282352,,True
24,all,QQQ,2070,0.0007612698607974582,0.008793572895228863,0.008032302867963118,34.254715935470166,,True
25,all,VEA,2070,0.00035161468141896714,0.008793572895228863,0.00844195804734161,44.980963977654646,,True
26,all,VUG,2070,0.0006743649353727626,0.008793572895228863,0.008119207793387814,35.737320377550745,,True
27,all,GLD,2070,0.0006547625801989422,0.008793572895228863,0.008138810148561635,32.99063071435264,,True
28,all,IEFA,2070,0.00032880355194570937,0.008793572895228863,0.008464769176814867,44.33909433094026,,True
29,all,VTV,2070,0.0004536817615158892,0.008793572895228863,0.008339890967244688,40.72918094013177,,True
