Index,split,baseline_ticker,samples,baseline_mean_raw_return,policy_mean_raw_return,policy_mean_excess_return,t_statistic,p_value,significant_outperformance
0,train,VOO,836,0.005546727748008436,0.006266996193160281,0.0007202684451518447,2.725881053155124,0.0032736607337466466,True
1,train,IVV,836,0.00554603259814413,0.006266996193160281,0.000720963595016151,2.7232533643951826,0.003299579479916531,True
2,train,SPY,836,0.0055215854251213625,0.006266996193160281,0.0007454107680389185,2.847995179387883,0.00225380175566309,True
3,train,VTI,836,0.005305256569784794,0.006266996193160281,0.0009617396233754865,3.2890765917196036,0.0005236216889491784,True
4,train,QQQ,836,0.007334456917201503,0.006266996193160281,-0.0010674607240412225,-1.6198238465865407,0.9471761479885743,False
5,train,VEA,836,0.0024787654574407914,0.006266996193160281,0.0037882307357194893,5.949724094037249,1.9744827406918508e-09,True
6,train,VUG,836,0.0067069906224474386,0.006266996193160281,-0.00043999442928715755,-0.7425962503152035,0.7710324951751415,False
7,train,GLD,836,0.003967453132976185,0.006266996193160281,0.0022995430601840954,1.736971248554899,0.04138050561662123,True
8,train,IEFA,836,0.0024381056784442737,0.006266996193160281,0.003828890514716007,5.765962625135795,5.713214533295257e-09,True
9,train,VTV,836,0.004420670952523154,0.006266996193160281,0.0018463252406371268,3.3905331135288366,0.00036515594223444095,True
10,validation,VOO,209,0.005466514226922578,0.008623657614420476,0.0031571433874978973,5.028475272956923,5.32721313588544e-07,True
11,validation,IVV,209,0.0054783667103525556,0.008623657614420476,0.00314529090406792,5.017375790493628,5.60900241340604e-07,True
12,validation,SPY,209,0.005447760153044924,0.008623657614420476,0.0031758974613755515,5.064569677504549,4.502561898061766e-07,True
13,validation,VTI,209,0.005508686652023827,0.008623657614420476,0.0031149709623966492,4.666366949181069,2.7429680593308414e-06,True
14,validation,QQQ,209,0.007051438235780269,0.008623657614420476,0.0015722193786402068,1.4367944946280464,0.07613942675828625,False
15,validation,VEA,209,0.007755446662172746,0.008623657614420476,0.0008682109522477291,0.6291572781070108,0.26496823690432136,False
16,validation,VUG,209,0.0059107285367244735,0.008623657614420476,0.0027129290776960018,2.332499730627674,0.010315174648270172,True
17,validation,GLD,209,0.015745648927095405,0.008623657614420476,-0.007121991312674929,-2.1571539862710787,0.983929840877668,False
18,validation,IEFA,209,0.006690386950114127,0.008623657614420476,0.0019332706643063486,1.3387708430554301,0.09105331995706868,False
19,validation,VTV,209,0.005039607794090892,0.008623657614420476,0.003584049820329584,3.110529601118684,0.001064713625096357,True
20,all,VOO,1045,0.0055306850437912645,0.00673832847741232,0.0012076434336210553,4.877973840317958,6.193079969846554e-07,True
21,all,IVV,1045,0.005532499420585815,0.00673832847741232,0.0012058290568265047,4.866094837025933,6.568155972687489e-07,True
22,all,SPY,1045,0.005506820370706074,0.00673832847741232,0.001231508106706245,5.0106843117280055,3.183240881980289e-07,True
23,all,VTI,1045,0.005345942586232601,0.00673832847741232,0.001392385891179719,5.1473385337179005,1.5778731146980606e-07,True
24,all,QQQ,1045,0.007277853180917256,0.00673832847741232,-0.0005395247035049366,-0.9439931556785554,0.8273042243696546,False
25,all,VEA,1045,0.0035341016983871827,0.00673832847741232,0.003204226779025137,5.5230722189156465,2.102192870346935e-08,True
26,all,VUG,1045,0.006547738205302845,0.00673832847741232,0.00019059027210947428,0.36014531082322915,0.35940565742461494,False
27,all,GLD,1045,0.006323092291800029,0.00673832847741232,0.00041523618561229065,0.33145983142725816,0.37018184991891623,False
28,all,IEFA,1045,0.0032885619327782446,0.00673832847741232,0.003449766544634075,5.70390339021041,7.619613459172194e-09,True
29,all,VTV,1045,0.004544458320836701,0.00673832847741232,0.002193870156575618,4.449540099651609,4.7643679477665195e-06,True
