Index,split,baseline_ticker,samples,baseline_mean_raw_return,policy_mean_raw_return,policy_mean_excess_return,t_statistic,p_value,significant_outperformance
0,train,VOO,836,0.005546727748008436,0.009748603096989354,0.004201875348980917,6.425851428393259,1.1007914753084892e-10,True
1,train,IVV,836,0.00554603259814413,0.009748603096989354,0.004202570498845224,6.407082030810162,1.2379590883283524e-10,True
2,train,SPY,836,0.0055215854251213625,0.009748603096989354,0.004227017671867991,6.496536141114399,7.05477359691615e-11,True
3,train,VTI,836,0.005305256569784794,0.009748603096989354,0.0044433465272045594,6.583849189966475,4.048511498661388e-11,True
4,train,QQQ,836,0.007334456917201503,0.009748603096989354,0.0024141461797878502,2.6450015281902997,0.004161270666598402,True
5,train,VEA,836,0.0024787654574407914,0.009748603096989354,0.007269837639548562,9.208199598887443,1.3077708158680429e-19,True
6,train,VUG,836,0.0067069906224474386,0.009748603096989354,0.0030416124745419153,3.4965215788800106,0.00024811626688381333,True
7,train,GLD,836,0.003967453132976185,0.009748603096989354,0.005781149964013168,5.7001793812261905,8.298448325384567e-09,True
8,train,IEFA,836,0.0024381056784442737,0.009748603096989354,0.00731049741854508,9.08627905414577,3.6466040467974386e-19,True
9,train,VTV,836,0.004420670952523154,0.009748603096989354,0.005327932144466199,6.852861620623156,7.0282702689057425e-12,True
10,validation,VOO,209,0.005466514226922578,0.010087869384072044,0.004621355157149465,3.662528227139692,0.0001584079844455042,True
11,validation,IVV,209,0.0054783667103525556,0.010087869384072044,0.004609502673719488,3.6557525149596626,0.00016238998698380765,True
12,validation,SPY,209,0.005447760153044924,0.010087869384072044,0.004640109231027119,3.678654059068713,0.00014929816381021788,True
13,validation,VTI,209,0.005508686652023827,0.010087869384072044,0.004579182732048217,3.5393335050340387,0.00024740898676179566,True
14,validation,QQQ,209,0.007051438235780269,0.010087869384072044,0.0030364311482917747,1.835686672417274,0.0339158576563756,True
15,validation,VEA,209,0.007755446662172746,0.010087869384072044,0.002332422721899297,1.5101952301808175,0.06625561882234991,False
16,validation,VUG,209,0.0059107285367244735,0.010087869384072044,0.00417714084734757,2.3680517812233544,0.009399303078867301,True
17,validation,GLD,209,0.015745648927095405,0.010087869384072044,-0.005657779543023361,-2.074507557208084,0.9803685400148082,False
18,validation,IEFA,209,0.006690386950114127,0.010087869384072044,0.0033974824339579168,2.0484113879117114,0.020887837694142583,True
19,validation,VTV,209,0.005039607794090892,0.010087869384072044,0.0050482615899811525,3.7048858923070562,0.0001355272234055761,True
20,all,VOO,1045,0.0055306850437912645,0.009816456354405891,0.004285771310614627,7.382040913627106,1.5893370068821881e-13,True
21,all,IVV,1045,0.005532499420585815,0.009816456354405891,0.004283956933820076,7.361421161539462,1.8411012539614758e-13,True
22,all,SPY,1045,0.005506820370706074,0.009816456354405891,0.004309635983699817,7.4536451334060425,9.511474687774298e-14,True
23,all,VTI,1045,0.005345942586232601,0.009816456354405891,0.004470513768173291,7.470237791723538,8.439448299891299e-14,True
24,all,QQQ,1045,0.007277853180917256,0.009816456354405891,0.0025386031734886353,3.1680286572274747,0.0007896636425089547,True
25,all,VEA,1045,0.0035341016983871827,0.009816456354405891,0.0062823546560187085,8.90596623369813,1.1516495227024703e-18,True
26,all,VUG,1045,0.006547738205302845,0.009816456354405891,0.003268718149103046,4.190776417218018,1.5076176925914075e-05,True
27,all,GLD,1045,0.006323092291800029,0.009816456354405891,0.0034933640626058624,3.5386089559277143,0.0002099715334974968,True
28,all,IEFA,1045,0.0032885619327782446,0.009816456354405891,0.006527894421627647,8.99949462675779,5.24194156782071e-19,True
29,all,VTV,1045,0.004544458320836701,0.009816456354405891,0.00527199803356919,7.766714246886438,9.584698361748821e-15,True
