Index,split,baseline_ticker,samples,baseline_mean_raw_return,policy_mean_raw_return,policy_mean_excess_return,t_statistic,p_value,significant_outperformance
0,train,VOO,167,0.005487683647407029,0.029743846505880356,0.024256159802396853,13.517291521368069,,True
1,train,IVV,167,0.005487390977893761,0.029743846505880356,0.024256452471910123,13.480842261938264,,True
2,train,SPY,167,0.005462521921374841,0.029743846505880356,0.02428132152842904,13.624198185671931,,True
3,train,VTI,167,0.005244097309912037,0.029743846505880356,0.024499746139891847,13.3450674228598,,True
4,train,QQQ,167,0.007253157878350355,0.029743846505880356,0.02249068557145353,10.134152467174252,,True
5,train,VEA,167,0.0024407748690622295,0.029743846505880356,0.027303068580741652,14.189497854361049,,True
6,train,VUG,167,0.00663211852490545,0.029743846505880356,0.023111724924898432,10.541760489084858,,True
7,train,GLD,167,0.0039120726956578785,0.029743846505880356,0.025831770754146006,11.827104958145691,,True
8,train,IEFA,167,0.002402008293631548,0.029743846505880356,0.027341835156172334,14.003444051356972,,True
9,train,VTV,167,0.004381113780472807,0.029743846505880356,0.025362729669331077,12.467093208641542,,True
10,validation,VOO,42,0.005701666786557152,0.037830524146556854,0.03212885913394746,7.717123736577394,,True
11,validation,IVV,42,0.005711859180813744,0.037830524146556854,0.03211866673969087,7.695181928034517,,True
12,validation,SPY,42,0.005682959443046933,0.037830524146556854,0.03214756647745768,7.690553232979933,,True
13,validation,VTI,42,0.005750898803983416,0.037830524146556854,0.0320796271165212,7.581797169673069,,True
14,validation,QQQ,42,0.0073760464077904115,0.037830524146556854,0.030454479512714204,6.245008814560705,,True
15,validation,VEA,42,0.00788137742451259,0.037830524146556854,0.029949148495992024,7.476472226613071,,True
16,validation,VUG,42,0.006212225982121059,0.037830524146556854,0.031618299938383554,6.210254571908158,,True
17,validation,GLD,42,0.015909765447889055,0.037830524146556854,0.02192076047261556,4.00019653630549,,True
18,validation,IEFA,42,0.006813668069385347,0.037830524146556854,0.031016857851119267,7.379057525088607,,True
19,validation,VTV,42,0.00519394732656933,0.037830524146556854,0.03263657859393528,7.772362701831897,,True
20,all,VOO,209,0.0055306850437912645,0.0313689187169075,0.025838233352277837,15.47483936940739,,True
21,all,IVV,209,0.005532499420585815,0.0313689187169075,0.025836418975483288,15.433601187430734,,True
22,all,SPY,209,0.005506820370706074,0.0313689187169075,0.025862098025363028,15.551803623149556,,True
23,all,VTI,209,0.005345942586232601,0.0313689187169075,0.0260229758098365,15.27384216422652,,True
24,all,QQQ,209,0.007277853180917256,0.0313689187169075,0.024091065215151846,11.851830469188195,,True
25,all,VEA,209,0.0035341016983871827,0.0313689187169075,0.02783481669768192,16.06489769759493,,True
26,all,VUG,209,0.006547738205302845,0.0313689187169075,0.02482118019076626,12.18744813906755,,True
27,all,GLD,209,0.006323092291800029,0.0313689187169075,0.025045826104269073,12.158483778713505,,True
28,all,IEFA,209,0.0032885619327782446,0.0313689187169075,0.028080356463290858,15.84317219082321,,True
29,all,VTV,209,0.004544458320836701,0.0313689187169075,0.0268244600752324,14.59380718469197,,True
