Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,composite_reward,blended_excess_reward
0,0,"APO,AWK,CDW,CMS,DHI,ETR,FCX,FTNT,GS,HCA",2023-11-10,2023-11-17,1,equal_weight,0.01605101754433806,0.012994718551635743,0.016051054000854492
1,1,"ACGL,APP,BF-B,ESS,ETR,GPN,HAS,HCA,INTC,LH",2025-08-29,2025-09-05,1,min_variance,-0.0005560820571640695,3.982782363891606e-05,-0.0005397796630859375
2,2,"AME,APO,APP,BKR,COR,DHI,EXE,FITB,HSIC,IQV",2025-05-09,2025-05-16,1,equal_weight,-0.008688487165628856,0.009513473510742186,-0.008615493774414062
3,3,"AME,BIIB,BR,CARR,CDNS,COR,ES,INTC,LH,LLY",2024-10-11,2024-10-18,1,min_variance,0.007723377393198803,0.007714352011680602,0.007716059684753418
4,4,"APP,CHD,COR,CPRT,DHI,EQIX,ETR,FSLR,GPN,IQV",2024-10-04,2024-10-11,1,min_variance,-0.005723690840856674,-0.0032142966985702513,-0.005713939666748047
5,5,"AWK,COR,EQIX,ES,EXE,FITB,HCA,HON,INTC,LH",2025-11-21,2025-11-28,1,mean_variance,0.032485309983899015,0.006889003515243531,0.032485246658325195
6,6,"APA,APP,CDNS,CDW,CMS,EQIX,HCA,IBM,IQV,LLY",2023-11-03,2023-11-10,1,mean_variance,0.04373328792881874,-6.0230493545532227e-05,0.04373288154602051
7,7,"APA,APO,AWK,BR,CMS,CPRT,EXE,FSLR,HSIC,INTC",2025-06-20,2025-06-27,1,equal_weight,-0.026424769729988012,-0.0016017794609069819,-0.026414155960083008
8,8,"ACGL,CDW,CMS,CPRT,DHI,FITB,FSLR,GOOG,INTC,LLY",2024-02-23,2024-03-01,1,mean_variance,0.010880634441866273,-0.0014667809009552004,0.010882139205932617
9,9,"AME,APP,AWK,BF-B,BIIB,CDNS,CPRT,FCX,FSLR,IQV",2023-11-10,2023-11-17,1,equal_weight,0.012392534779779925,0.038443976640701295,0.012410402297973633
10,10,"ACGL,AWK,BR,COR,EQIX,HCA,IBM,KKR,LH,LLY",2025-01-03,2025-01-10,1,min_variance,0.010143028912147575,0.03066640496253967,0.01014178991317749
11,11,"BR,CDW,COR,DHI,ESS,GOOG,HCA,HSIC,IBM,LH",2026-03-13,2026-03-20,1,equal_weight,-0.01169207069187165,0.011644148826599119,-0.011692702770233154
12,12,"APO,APP,BR,CARR,DHI,FCX,FITB,FTNT,KKR,LH",2025-07-25,2025-08-01,1,equal_weight,-0.03085527523215422,0.0028569638729095456,-0.030826091766357422
13,13,"AME,APP,BIIB,CDNS,CHD,EQIX,ES,HCA,HON,INTC",2025-08-22,2025-08-29,1,mean_variance,0.0017787844406225595,-0.008930936455726624,0.0017811059951782227
