Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_training_reward,validation_t_statistic,validation_p_value,selected_checkpoint
1,1.113525629043579,-0.20970540513333522,1.3232310069234747,0.004324778987977065,-13.481904080039577,0.011011769063770771,0.011053938418626785,0.000854893762152642,0.0008127240580506623,0.0059750741347670555,0.005107379052788019,-0.001512980437837541,-0.0006452858215197921,-0.2649032830664774,0.6014744354322947,False
2,0.7265262729243228,-0.34316315462714747,1.0696894024547778,0.0042595385304211005,-13.382585625899466,0.011011769063770771,0.011053938418626785,0.0009286905406042933,0.0008865208365023136,0.0059750741347670555,0.005107379052788019,-0.0015320777893066406,-0.0006643831729888916,-0.2681683647153826,0.6026925593376671,False
3,0.5374068774675068,-0.08935874700546265,0.6267656087875366,0.00421843893433872,-13.362150894968133,0.011011769063770771,0.011053938418626785,0.0009672547457739711,0.0009250850416719913,0.0059750741347670555,0.005107379052788019,-0.0015525758499279618,-0.0006848812336102128,-0.2716994816802314,0.6040086116169524,False
4,0.46931135654449463,-0.7831367034661142,1.252448060010609,0.00419265025687453,-13.26872740293804,0.011011769063770771,0.011053938418626785,0.0010256767272949219,0.0009835072560235858,0.0059750741347670555,0.005107379052788019,-0.0015705644618719816,-0.0007028699037618935,-0.27483769069522596,0.6051770598078139,False
5,0.13863790192102132,-0.2916947548326693,0.43033265675369065,0.004196768258943369,-13.318913660551372,0.011011769063770771,0.011053938418626785,0.0009980201721191406,0.0009558506426401436,0.0059750741347670555,0.005107379052788019,-0.0015525042545050383,-0.0006848096963949502,-0.27101635158490217,0.6037541160621597,False
6,0.038734148991735357,-0.42920922762469244,0.46794337661642776,0.004173149661111988,-13.37547869431345,0.011011769063770771,0.011053938418626785,0.0009878497803583741,0.0009456800180487335,0.0059750741347670555,0.005107379052788019,-0.0015416622627526522,-0.0006739675882272422,-0.26892952959677713,0.6029763633275145,False
7,-0.05037240213469455,-0.42910333997324895,0.3787309378385544,0.004167013115396625,-13.364998064543071,0.011011769063770771,0.011053938418626785,0.0010019916808232665,0.0009598220349289477,0.0059750741347670555,0.005107379052788019,-0.0015289306174963713,-0.0006612360593862832,-0.26689377891898186,0.6022171809627835,False
8,-0.07930262308371694,-0.32102588132808085,0.2417232582443639,0.004157993991516139,-13.301748175370065,0.011011769063770771,0.011053938418626785,0.0009788165334612131,0.0009366467711515725,0.0059750741347670555,0.005107379052788019,-0.0015281379455700517,-0.0006604433292523026,-0.26646551307241856,0.6020574118979448,False
9,-0.12473063092482717,-0.644478683408938,0.5197480524841108,0.004136542667095598,-13.189350178367214,0.011011769063770771,0.011053938418626785,0.000956798845436424,0.0009146291413344443,0.0059750741347670555,0.005107379052788019,-0.0015299320220947266,-0.0006622374057769775,-0.2665627638573642,0.6020936940881056,False
10,-0.18027292113555105,-0.4545754978531285,0.27430257671757746,0.00415938977446211,-13.129435539245605,0.011011769063770771,0.011053938418626785,0.0009496855200268328,0.0009075159905478358,0.0059750741347670555,0.005107379052788019,-0.001521974802017212,-0.0006542801856994629,-0.2651464826601323,0.6015652076046505,False
