Index,split,baseline_ticker,samples,baseline_mean_raw_return,policy_mean_raw_return,policy_mean_excess_return,t_statistic,p_value,significant_outperformance
0,train,VOO,340,0.0027964683140025417,0.019672051072120667,0.016875582232194788,19.293499997995855,,True
1,train,IVV,340,0.0027969519881641163,0.019672051072120667,0.016875098558033215,19.26271675786393,,True
2,train,SPY,340,0.0027827252359951243,0.019672051072120667,0.016889325310202204,19.41913159344834,,True
3,train,VTI,340,0.002694035102339352,0.019672051072120667,0.016978015443857977,18.926905966059117,,True
4,train,QQQ,340,0.003732638674623826,0.019672051072120667,0.015939411871573505,14.967454000219604,,True
5,train,VEA,340,0.001324081771513995,0.019672051072120667,0.018347968774683334,19.777705030963006,,True
6,train,VUG,340,0.0034104387549793017,0.019672051072120667,0.016261611791218027,15.53545401157365,,True
7,train,GLD,340,0.0019397439325557035,0.019672051072120667,0.017732306613641627,15.715878863741986,,True
8,train,IEFA,340,0.0013072382001315845,0.019672051072120667,0.018364812346065747,19.537381295580403,,True
9,train,VTV,340,0.0021901488304138183,0.019672051072120667,0.017481901715783513,17.443090645524,,True
10,validation,VOO,85,0.0023696156109080596,0.02298823371529579,0.020618616833406336,10.717484182537174,,True
11,validation,IVV,85,0.0023767941138323617,0.02298823371529579,0.020611438330482033,10.666610027272402,,True
12,validation,SPY,85,0.002360426678377039,0.02298823371529579,0.020627805765937358,10.660747842466712,,True
13,validation,VTI,85,0.002371668114381678,0.02298823371529579,0.020616564329932717,10.575431223049838,,True
14,validation,QQQ,85,0.002889725039987003,0.02298823371529579,0.020098507404327393,9.009082272651648,,True
15,validation,VEA,85,0.0034393857507144703,0.02298823371529579,0.019548846693599926,10.412674237010556,,True
16,validation,VUG,85,0.0024036470581503475,0.02298823371529579,0.020584585386164048,8.745129129862525,,True
17,validation,GLD,85,0.007711998855366426,0.02298823371529579,0.015276233588947969,6.044878375225363,,True
18,validation,IEFA,85,0.0029282647020676556,0.02298823371529579,0.02005996774224674,10.339202019603732,,True
19,validation,VTV,85,0.0023554135771358714,0.02298823371529579,0.020632818867178524,10.249862816807784,,True
20,all,VOO,425,0.0027110977733836453,0.020335284993052483,0.0176241891524371,22.008156540840226,,True
21,all,IVV,425,0.0027129204132977655,0.020335284993052483,0.01762236651252298,21.95769955109278,,True
22,all,SPY,425,0.0026982655244715075,0.020335284993052483,0.017637021401349234,22.09041455437299,,True
23,all,VTI,425,0.0026295617047478173,0.020335284993052483,0.017705725221072926,21.62676510564149,,True
24,all,QQQ,425,0.0035640559476964612,0.020335284993052483,0.01677123097812428,17.39918464547518,,True
25,all,VEA,425,0.00174714256735409,0.020335284993052483,0.018588144358466653,22.366333623225916,,True
26,all,VUG,425,0.003209080415613511,0.020335284993052483,0.017126206510207232,17.783951039592583,,True
27,all,GLD,425,0.003094194917117848,0.020335284993052483,0.017241092008702896,16.670638055432605,,True
28,all,IEFA,425,0.001631443500518799,0.020335284993052483,0.018703843425301944,22.113643323737197,,True
29,all,VTV,425,0.002223201779758229,0.020335284993052483,0.018112085146062513,20.164735680885222,,True
