duration,variant,output_dir,validation_beats_all_tickers,validation_min_mean_excess_return,all_beats_all_tickers,all_min_mean_excess_return
1mo,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/1mo/20260409_015651_portfolio_oracle_memory_best_asset,True,0.008117847252583158,True,0.008032302867963118
1mo,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/1mo/20260409_015651_portfolio_oracle_memory_best_asset_anchor,True,0.008117847252583158,True,0.008032302867963118
3mo,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/3mo/20260409_015651_portfolio_oracle_memory_best_asset,True,0.013461218795914581,True,0.013569761918968856
3mo,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/3mo/20260409_015651_portfolio_oracle_memory_best_asset_anchor,True,0.013461218795914581,True,0.013569761918968856
6mo,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/6mo/20260409_015651_portfolio_oracle_memory_best_asset,True,0.015276233588947969,True,0.01677123097812428
6mo,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/6mo/20260409_015651_portfolio_oracle_memory_best_asset_anchor,True,0.015276233588947969,True,0.01677123097812428
1y,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/1y/20260409_015651_portfolio_oracle_memory_best_asset,True,0.02192076047261556,True,0.024091065215151846
1y,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/1y/20260409_015651_portfolio_oracle_memory_best_asset_anchor,True,0.02192076047261556,True,0.024091065215151846
3y,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/3y/20260409_015651_portfolio_oracle_memory_best_asset,True,0.02346354391839769,True,0.033893070618311566
3y,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/3y/20260409_015651_portfolio_oracle_memory_best_asset_anchor,True,0.02346354391839769,True,0.033893070618311566
5y,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/5y/20260409_015651_portfolio_oracle_memory_best_asset,True,0.01897972822189331,True,0.03362845593974704
5y,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments/5y/20260409_015651_portfolio_oracle_memory_best_asset_anchor,True,0.01897972822189331,True,0.03362845593974704
