duration,variant,output_dir,validation_beats_all_tickers,validation_min_mean_excess_return,all_beats_all_tickers,all_min_mean_excess_return
1mo,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/1mo/20260409_033316_portfolio_oracle_memory_best_asset,True,0.049231285243839414,True,0.04588558529493962
1mo,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/1mo/20260409_033316_portfolio_oracle_memory_best_asset_anchor,True,0.049231285243839414,True,0.04588558529493962
3mo,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/3mo/20260409_033316_portfolio_oracle_memory_best_asset,True,0.08250330528244376,True,0.07802325122782429
3mo,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/3mo/20260409_033316_portfolio_oracle_memory_best_asset_anchor,True,0.08250330528244376,True,0.07802325122782429
6mo,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/6mo/20260409_033316_portfolio_oracle_memory_best_asset,True,0.09866841835311696,True,0.09948686657823282
6mo,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/6mo/20260409_033316_portfolio_oracle_memory_best_asset_anchor,True,0.09866841835311696,True,0.09948686657823282
1y,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/1y/20260409_033316_portfolio_oracle_memory_best_asset,True,0.13938759381954485,True,0.1432178936053797
1y,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/1y/20260409_033316_portfolio_oracle_memory_best_asset_anchor,True,0.13938759381954485,True,0.1432178936053797
3y,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/3y/20260409_033316_portfolio_oracle_memory_best_asset,True,0.19678803401834824,True,0.19948115047202053
3y,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/3y/20260409_033316_portfolio_oracle_memory_best_asset_anchor,True,0.19678803401834824,True,0.19948115047202053
5y,portfolio_oracle_memory_best_asset,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/5y/20260409_033316_portfolio_oracle_memory_best_asset,True,0.19736386090517044,True,0.19920252669941296
5y,portfolio_oracle_memory_best_asset_anchor,/Users/calvinlomax/Desktop/QuantShield/outputs/model_experiments_50_suite/portfolio_size_50/5y/20260409_033316_portfolio_oracle_memory_best_asset_anchor,True,0.19736386090517044,True,0.19920252669941296
