Index,split,baseline_ticker,samples,baseline_mean_raw_return,policy_mean_raw_return,policy_mean_excess_return,t_statistic,p_value,significant_outperformance
0,train,GLD,100,0.029629217982292174,0.03217037320137024,0.002541155219078064,1.0264587861503702,0.15358843163577138,False
1,train,IEFA,100,0.010517659187316895,0.03217037320137024,0.021652714014053345,6.145516156522092,8.386973026905794e-09,True
2,train,IVV,100,0.005546141266822815,0.03217037320137024,0.026624231934547424,8.823291998086903,2.005819862307545e-14,True
3,train,QQQ,100,0.004126139283180237,0.03217037320137024,0.02804423391819,9.835779784854893,1.2481145652729677e-16,True
4,train,SPY,100,0.005514001846313477,0.03217037320137024,0.026656371355056763,8.830697171497826,1.9329080574941647e-14,True
5,train,VEA,100,0.013125423789024353,0.03217037320137024,0.019044949412345885,5.616447775944505,8.947706144623982e-08,True
6,train,VOO,100,0.005542130470275879,0.03217037320137024,0.026628242731094362,8.810439231382507,2.1389435463888505e-14,True
7,train,VTI,100,0.005807773470878601,0.03217037320137024,0.02636259973049164,8.615300881796626,5.667401251123525e-14,True
8,train,VTV,100,0.01074019432067871,0.03217037320137024,0.021430178880691528,5.751086166670709,4.942312596491998e-08,True
9,train,VUG,100,0.00096774160861969,0.03217037320137024,0.031202631592750548,10.418496984338049,6.695521207370211e-18,True
10,validation,GLD,26,-0.011911144623389611,0.015821447739234336,0.02773259236262395,4.017575938632747,0.00023678557999074536,True
11,validation,IEFA,26,0.0030725185687725362,0.015821447739234336,0.012748929170461802,2.454249257685646,0.010713608180199573,True
12,validation,IVV,26,0.005326025761090792,0.015821447739234336,0.010495421978143545,2.9902111126368167,0.0030908987787469887,True
13,validation,QQQ,26,0.010964478437717144,0.015821447739234336,0.004856969301517193,1.116712430176101,0.13736773928921395,False
14,validation,SPY,26,0.005291588031328642,0.015821447739234336,0.010529859707905697,2.9491522876482774,0.0034102372260383343,True
15,validation,VEA,26,0.004328858393889207,0.015821447739234336,0.01149258934534513,2.226513580307644,0.017611659209581368,True
16,validation,VOO,26,0.0052698965256030746,0.015821447739234336,0.010551551213631263,3.006904938274121,0.002969397859888349,True
17,validation,VTI,26,0.005434882182341356,0.015821447739234336,0.010386565556892982,3.0360926112558753,0.002767847996922568,True
18,validation,VTV,26,-0.0006984930772047776,0.015821447739234336,0.016519940816439115,3.8293590697959554,0.00038346370142068343,True
19,validation,VUG,26,0.009157483394329365,0.015821447739234336,0.006663964344904973,1.5707019655276941,0.06441180826760218,False
20,all,GLD,126,0.02105739712715149,0.028796785407596164,0.007739388280444675,3.001133879528335,0.0016240479705023428,True
21,all,IEFA,126,0.008981360329522027,0.028796785407596164,0.01981542507807414,6.597625349323478,5.32077129596936e-10,True
22,all,IVV,126,0.005500720606909858,0.028796785407596164,0.023296064800686307,9.086888988028338,9.56330847313898e-16,True
23,all,QQQ,126,0.00553722514046563,0.028796785407596164,0.023259560267130535,9.057109595140382,1.127672652663563e-15,True
24,all,SPY,126,0.0054681069321102565,0.028796785407596164,0.023328678475485906,9.084555371839343,9.687652930305465e-16,True
25,all,VEA,126,0.011310259501139322,0.028796785407596164,0.017486525906456843,6.032766979537173,8.468966053472886e-09,True
26,all,VOO,126,0.005485955211851332,0.028796785407596164,0.02331083019574483,9.081598654139619,9.847514804610365e-16,True
27,all,VTI,126,0.005730827649434407,0.028796785407596164,0.023065957758161757,8.909170774568755,2.5532516357496237e-15,True
28,all,VTV,126,0.008379830254448785,0.028796785407596164,0.02041695515314738,6.614572763305948,4.888262737549301e-10,True
29,all,VUG,126,0.002657688326305813,0.028796785407596164,0.02613909708129035,9.761964604961145,2.229173003211255e-17,True
