Index,split,baseline_ticker,samples,baseline_mean_raw_return,policy_mean_raw_return,policy_mean_excess_return,t_statistic,p_value,significant_outperformance
0,train,GLD,100,0.029629217982292174,0.03512850165367126,0.005499283671379089,2.2008685374292023,0.015034661986299633,True
1,train,IEFA,100,0.010517659187316895,0.03512850165367126,0.02461084246635437,6.941846524848503,2.042229350013341e-10,True
2,train,IVV,100,0.005546141266822815,0.03512850165367126,0.02958236038684845,9.61169189695364,3.8476823047307033e-16,True
3,train,QQQ,100,0.004126139283180237,0.03512850165367126,0.03100236237049103,10.446629259402346,5.814771837793274e-18,True
4,train,SPY,100,0.005514001846313477,0.03512850165367126,0.029614499807357787,9.617481803326497,3.737377642864761e-16,True
5,train,VEA,100,0.013125423789024353,0.03512850165367126,0.022003077864646912,6.411603721081652,2.468173145941192e-09,True
6,train,VOO,100,0.005542130470275879,0.03512850165367126,0.029586371183395386,9.59590795687008,4.165196612677247e-16,True
7,train,VTI,100,0.005807773470878601,0.03512850165367126,0.029320728182792664,9.422299798770995,9.961433174479603e-16,True
8,train,VTV,100,0.01074019432067871,0.03512850165367126,0.024388307332992555,6.509700967519721,1.564605361116399e-09,True
9,train,VUG,100,0.00096774160861969,0.03512850165367126,0.03416076004505157,11.074999550951082,2.5114856942740273e-19,True
10,validation,GLD,26,-0.011911144623389611,0.015045748307154728,0.02695689293054434,3.813543274003332,0.0003992533444888069,True
11,validation,IEFA,26,0.0030725185687725362,0.015045748307154728,0.011973229738382192,2.1090864196073444,0.022561531943874377,True
12,validation,IVV,26,0.005326025761090792,0.015045748307154728,0.009719722546063937,2.945883508671214,0.0034369685255933435,True
13,validation,QQQ,26,0.010964478437717144,0.015045748307154728,0.004081269869437585,1.035952006020613,0.15507087356624646,False
14,validation,SPY,26,0.005291588031328642,0.015045748307154728,0.009754160275826087,2.909569434471056,0.0037476701009846415,True
15,validation,VEA,26,0.004328858393889207,0.015045748307154728,0.010716889913265523,1.9325734104316592,0.03234704553252554,True
16,validation,VOO,26,0.0052698965256030746,0.015045748307154728,0.009775851781551655,2.9657540574682972,0.003277501342496662,True
17,validation,VTI,26,0.005434882182341356,0.015045748307154728,0.009610866124813374,2.9498529429797125,0.003404533260206216,True
18,validation,VTV,26,-0.0006984930772047776,0.015045748307154728,0.015744241384359505,3.556611284040623,0.0007657137126478953,True
19,validation,VUG,26,0.009157483394329365,0.015045748307154728,0.005888264912825365,1.5493294423504587,0.06693511066569867,False
20,all,GLD,126,0.02105739712715149,0.03098444143931071,0.00992704431215922,3.8670839997368223,8.809096001911013e-05,True
21,all,IEFA,126,0.008981360329522027,0.03098444143931071,0.022003081109788682,7.161451947575197,3.01940853959016e-11,True
22,all,IVV,126,0.005500720606909858,0.03098444143931071,0.02548372083240085,9.687232405319309,3.385785097391675e-17,True
23,all,QQQ,126,0.00553722514046563,0.03098444143931071,0.02544721629884508,9.532724684621947,8.023872830841195e-17,True
24,all,SPY,126,0.0054681069321102565,0.03098444143931071,0.025516334507200453,9.685506940478557,3.418600546022504e-17,True
25,all,VEA,126,0.011310259501139322,0.03098444143931071,0.019674181938171387,6.61764571033716,4.813641861388489e-10,True
26,all,VOO,126,0.005485955211851332,0.03098444143931071,0.02549848622745938,9.680508986930908,3.515454971328968e-17,True
27,all,VTI,126,0.005730827649434407,0.03098444143931071,0.0252536137898763,9.521961435904794,8.520362014075025e-17,True
28,all,VTV,126,0.008379830254448785,0.03098444143931071,0.022604611184861925,7.246999893587175,1.9378853864704216e-11,True
29,all,VUG,126,0.002657688326305813,0.03098444143931071,0.028326753113004897,10.259248810539756,1.3700659942237282e-18,True
