Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_excess_vs_equal_weight,train_policy_excess_vs_restricted_random,train_policy_excess_vs_markowitz,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_excess_vs_equal_weight,validation_policy_excess_vs_restricted_random,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,best_epoch_so_far,selected_checkpoint
1,0.9541087389665809,-0.24838578431619762,1.2024945114965493,0.0630385091917663,-13.400531208447818,0.007178341504186392,0.007319196593016386,0.00046077254228293896,4.029054980492219e-05,3.553312490112148e-05,-0.0005845646956004202,0.00031991771538741887,0.007131899707019329,0.0067608896642923355,-0.000520690344274044,-1.3396565009315964e-05,7.32446787878871e-05,-0.00014967961760703474,0.0023282961919903755,-2.366870819005291,0.9904872195943708,1.0,False
2,0.5124724248034805,-0.25293632685127904,0.7654087536752561,0.06267769026470049,-13.688536401522361,0.007178341504186392,0.007319196593016386,0.0005079479306004941,8.7465945398435e-05,8.270851685665548e-05,-0.000537389307282865,0.0003670931328088045,0.007131899707019329,0.0067608896642923355,-0.0005123211303725839,-5.027332008467056e-06,8.161391451722011e-05,-0.00014131038915365934,0.002336665289476514,-2.3130521202647714,0.9890617884483959,2.0,False
3,0.5097208292470814,-0.26008021410575693,0.7698010448682107,0.062485300814785524,-14.290558184607555,0.007178341504186392,0.007319196593016386,0.0004956124466843903,7.513047603424639e-05,7.037304749246687e-05,-0.0005497247911989689,0.00035475767799653113,0.007131899707019329,0.0067608896642923355,-0.0005184452165849507,-1.115145641961135e-05,7.54897846491076e-05,-0.00014743450446985662,0.00233054137788713,-2.3679257336457873,0.990513441321045,2.0,False
4,0.43712293967015325,-0.31125708968289156,0.7483800306158551,0.0625755166855909,-13.95280215699794,0.007178341504186392,0.007319196593016386,0.000486260571051389,6.577860767720267e-05,6.102118277340196e-05,-0.0005590766668319702,0.00034540577325969934,0.007131899707019329,0.0067608896642923355,-0.0005029584863223135,4.335312041803263e-06,9.097655856749043e-05,-0.00013194774510338902,0.002346028108149767,-2.2438306311679006,0.9869550960753448,4.0,False
5,0.5192754243390035,-0.23625819526065542,0.7555336186104575,0.0625424121564391,-14.132013579546395,0.007178341504186392,0.007319196593016386,0.0005277646123431623,0.00010728263441706076,0.00010252520587528124,-0.0005175726255401969,0.00038690981455147266,0.007131899707019329,0.0067608896642923355,-0.000504602154251188,2.6916379738395335e-06,8.933288336265832e-05,-0.00013359141303226352,0.0023443843238055706,-2.2146535734056902,0.9859661246728175,4.0,False
6,0.39201086961616904,-0.3239735940755424,0.7159844596507186,0.06220891240373843,-14.719674622271693,0.007178341504186392,0.007319196593016386,0.000534893071744591,0.0001144111156463623,0.00010965368710458279,-0.0005104441661387682,0.00039403827395290136,0.007131899707019329,0.0067608896642923355,-0.0005028406158089638,4.453173914953368e-06,9.109442180488259e-05,-0.00013182987459003925,0.0023461459204554558,-2.1599090028623067,0.9839337579759172,6.0,False
7,0.4348396049380976,-0.28469861159890386,0.7195382178839991,0.062215306959246514,-14.459790655448613,0.007178341504186392,0.007319196593016386,0.0005861420650035143,0.00016566007980145514,0.00016090265125967562,-0.00045919520198367536,0.00044528726721182466,0.007131899707019329,0.0067608896642923355,-0.0005640663439407945,-5.677258377545513e-05,2.9868662750232033e-05,-0.0001930556318257004,0.0022849200759083033,-2.4098505206940852,0.9915052587254418,6.0,False
8,0.3932898381335587,-0.30805438487543224,0.7013442253662368,0.061835852172751886,-15.36846569298351,0.007178341504186392,0.007319196593016386,0.0007072513690218329,0.0002867693838197738,0.0002820119552779943,-0.00033808586886152625,0.0005663965712301433,0.007131899707019329,0.0067608896642923355,-0.0005604493198916316,-5.315555608831346e-05,3.34856886183843e-05,-0.00018943860777653754,0.002288537099957466,-2.3505734942476,0.9900739243382543,6.0,False
9,0.3436201824306768,-0.3493439804362712,0.6929641642139457,0.061257107698984736,-16.390109390862243,0.007178341504186392,0.007319196593016386,0.0008901950204744935,0.0004697130643762648,0.0004649556358344853,-0.0001551422174088657,0.0007493402226828039,0.007131899707019329,0.0067608896642923355,-0.0006508941878564656,-0.00014360038039740175,-5.69591429666616e-05,-0.0002798834175337106,0.002198092406615615,-2.538430428487311,0.9939990098269786,6.0,False
10,0.48178143420461883,-0.46696655174433177,0.9487479790455877,0.06000033599761246,-14.423875744059934,0.007178341504186392,0.007319196593016386,0.0011751805432140827,0.0007546985289081931,0.0007499411003664136,0.0001298432471230626,0.0010343256872147322,0.007131899707019329,0.0067608896642923355,-0.000707372440956533,-0.00020007864804938436,-0.0001134374033426866,-0.000336361670633778,0.0021416139788925648,-2.645867696233755,0.9955569092089409,6.0,False
