epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_excess_vs_equal_weight,train_policy_excess_vs_restricted_random,train_policy_excess_vs_markowitz,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_excess_vs_equal_weight,validation_policy_excess_vs_restricted_random,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,best_epoch_so_far
1,0.8957847414536385,-0.3937660904392585,1.289550831892897,0.04511715169887009,-13.146744915743769,0.005208829417824745,0.00534863444045186,0.0004216534725856036,1.666885054874001e-06,3.6670991221399163e-07,-0.000622136052697897,0.0002818488865159452,0.005042322911322117,0.0046828072518110275,-0.0005062890704721212,-1.72300690337579e-06,3.660013680928387e-05,-0.00014677373110316694,0.002333372365683317,-2.768310040819078,0.9969690921927347,1.0
2,0.7009311037515896,-0.39862412905957695,1.0995552328111666,0.04511808704746479,-12.864044606144326,0.005208829417824745,0.00534863444045186,0.0004213945649098605,1.4079566881264327e-06,1.0778155967727798e-07,-0.000622395018581301,0.0002815899788402021,0.005042322911322117,0.0046828072518110275,-0.0005053241038694978,-7.580364922432636e-07,3.756510704988614e-05,-0.00014580876450054348,0.002334337215870619,-2.7630484519998353,0.9969213159768491,2.0
3,0.7348314897804761,-0.34987184429385226,1.0847033324804605,0.04512346831388118,-12.825868752842354,0.005208829417824745,0.00534863444045186,0.00041913133463822305,-8.552755161872483e-07,-2.155450602003839e-06,-0.0006246582488529384,0.0002793267194647342,0.005042322911322117,0.0046828072518110275,-0.0005048462771810591,-2.802379697186552e-07,3.8042904634494334e-05,-0.00014533096691593528,0.00233481521718204,-2.7601060272909845,0.9968943017200474,3.0
4,0.5259335258173052,-0.39396774615081237,0.9199012743476421,0.04512590149607355,-12.817106648242076,0.005208829417824745,0.00534863444045186,0.00042038591345772147,3.99309016074767e-07,-9.008661550069519e-07,-0.0006234036409296095,0.0002805813273880631,0.005042322911322117,0.0046828072518110275,-0.0005049993633292615,-4.3333537291800894e-07,3.7889807572355494e-05,-0.00014548406761605293,0.002334662014618516,-2.75988694702483,0.9968922817917064,3.0
5,0.5368883094020135,-0.28804086466008794,0.8249291755356775,0.04511716612638186,-12.817201014844969,0.005208829417824745,0.00534863444045186,0.0004204519500490278,4.653492737816123e-07,-8.34825925721816e-07,-0.0006233376334421337,0.0002806473639793694,0.005042322911322117,0.0046828072518110275,-0.0005053807981312275,-8.147570156324946e-07,3.750838732230477e-05,-0.00014586548786610365,0.002334280638024211,-2.7620063597285234,0.996911773021749,3.0
6,0.5560991303350562,-0.44200002136673144,0.9980991491756573,0.04512203517853913,-12.828773795896774,0.005208829417824745,0.00534863444045186,0.00042087442125193775,8.878145081325783e-07,-4.1236069137084996e-07,-0.0006229151622392237,0.00028106983518227935,0.005042322911322117,0.0046828072518110275,-0.0005054707289673388,-9.046447075888864e-07,3.741849650396034e-05,-0.00014595537504646927,0.0023341907653957605,-2.7614978694133026,0.9969071068028501,3.0
7,0.5549653564945359,-0.33647657929347335,0.8914419341039225,0.04511522965582781,-12.829076575463041,0.005208829417824745,0.00534863444045186,0.00042047552415169775,4.889265028396039e-07,-8.112486966638244e-07,-0.0006233140593394637,0.00028067093808203936,0.005042322911322117,0.0046828072518110275,-0.0005048609455116093,-2.948987969375594e-07,3.8028243579901755e-05,-0.00014534562069457024,0.00233480054885149,-2.7602166877025116,0.9968953215610964,3.0
8,0.5997038568425491,-0.3659223090146793,0.9656261616470113,0.04511255057064363,-12.818179051642701,0.005208829417824745,0.00534863444045186,0.00042004548595286906,5.888289322797391e-08,-1.2412922387738945e-06,-0.0006237440975382924,0.00028024089988321066,0.005042322911322117,0.0046828072518110275,-0.0005049587925896049,-3.9271770901905256e-07,3.793042560573667e-05,-0.00014544343866873533,0.0023347025271505117,-2.760364367335219,0.9968966820969614,3.0
9,0.6841097607020774,-0.34175103683284025,1.0258607910090811,0.04512339539442486,-12.857253378743962,0.005208829417824745,0.00534863444045186,0.0004210191254969686,1.0325256880605593e-06,-2.6764951144286897e-07,-0.0006227704579941928,0.00028121453942731023,0.005042322911322117,0.0046828072518110275,-0.0005074217915534973,-2.8557353743963176e-06,3.546740845195018e-05,-0.00014790646673645824,0.002332239644601941,-2.770850047152234,0.9969919145866379,3.0
10,0.6131293093701063,-0.35882776587690285,0.971957076931096,0.04512210494033263,-12.82969357098869,0.005208829417824745,0.00534863444045186,0.00042017936357297003,1.9276779994470417e-07,-1.1074073427153053e-06,-0.0006236102199181914,0.00028037477750331163,0.005042322911322117,0.0046828072518110275,-0.0005046446458436549,-7.859161144097015e-08,3.8244550523813814e-05,-0.0001451293210266158,0.0023350168485194445,-2.757794760276855,0.996872931720037,10.0
