Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_excess_vs_equal_weight,train_policy_excess_vs_restricted_random,train_policy_excess_vs_markowitz,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_excess_vs_equal_weight,validation_policy_excess_vs_restricted_random,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,best_epoch_so_far,selected_checkpoint
1,1.0265609955811716,-0.40758271028187154,1.434143696735894,0.04502198348192105,-13.50149891234551,0.005208829417824745,0.00534863444045186,0.00046287174336612225,4.2885152652161196e-05,4.158497540629469e-05,-0.0005809178110212088,0.0003230671864002943,0.005042322911322117,0.0046828072518110275,-0.000520972243975848,-1.640617847442627e-05,2.191696512454655e-05,-0.00016145690460689366,0.0023186891339719296,-2.8052471261222416,0.9972860079461259,1.0,False
2,0.6588156213673766,-0.34058902873521374,0.9994046553954347,0.044823137605346654,-13.607544646854958,0.005208829417824745,0.00534863444045186,0.0004838687018491328,6.388210749719292e-05,6.258193025132641e-05,-0.0005599208525381982,0.00034406414488330483,0.005042322911322117,0.0046828072518110275,-0.0005212656687945127,-1.6699636034900323e-05,2.1623507564072497e-05,-0.0001617503585293889,0.0023183957673609257,-2.8191518914985547,0.997397291547963,1.0,False
3,0.7475856018715983,-0.38729875989626683,1.1348843545653866,0.04494133507447575,-13.47292939541198,0.005208829417824745,0.00534863444045186,0.00043792699580080807,1.7940395991900004e-05,1.66402205650229e-05,-0.0006058625876903534,0.0002981224097311497,0.005042322911322117,0.0046828072518110275,-0.0005038214731030166,7.445773917424958e-07,3.906771962647326e-05,-0.00014430614828597754,0.002335839904844761,-2.7461120816649864,0.9967628619619259,3.0,False
4,0.6721040985418256,-0.3461274666905283,1.018231565728558,0.04508700889021188,-12.837447673593593,0.005208829417824745,0.00534863444045186,0.00042429985478520393,4.313247245590901e-06,3.0130718187137973e-06,-0.0006194896996021271,0.00028449526871554554,0.005042322911322117,0.0046828072518110275,-0.0005065841833129525,-2.0181460058665834e-06,3.630499850260094e-05,-0.00014706887304782867,0.002333077136427164,-2.7476403082585588,0.9967774569716469,3.0,False
5,0.5936994035958522,-0.37242831249169694,0.9661277184933875,0.045102091744827814,-12.81916412888574,0.005208829417824745,0.00534863444045186,0.0004277374828234315,7.750889380986337e-06,6.450714408856584e-06,-0.0006160520715638995,0.0002879328967537731,0.005042322911322117,0.0046828072518110275,-0.0004992138710804284,5.3521607696893625e-06,4.367530345916748e-05,-0.00013969856081530452,0.002340447623282671,-2.738581882778556,0.9966900690111301,5.0,False
6,0.5395889514991421,-0.3152127031360938,0.8548016555975713,0.0450461135818186,-13.124779681023869,0.005208829417824745,0.00534863444045186,0.00043270090827718377,1.2714313925243914e-05,1.1414139407861512e-05,-0.0006110886461101472,0.00029289632220752537,0.005042322911322117,0.0046828072518110275,-0.0005030295578762889,1.536501940790913e-06,3.985964576713741e-05,-0.0001435142185073346,0.0023366317618638277,-2.745979748616128,0.9967615953325069,6.0,True
7,0.6316553764458742,-0.3289050975763714,0.9605604706691083,0.04506447990204083,-12.953187426693143,0.005208829417824745,0.00534863444045186,0.0004404611827339977,2.0474586563068442e-05,1.9174411136191338e-05,-0.0006033284007571638,0.0003006565966643393,0.005042322911322117,0.0046828072518110275,-0.0005041433032602072,4.2276036538169137e-07,3.874590402119793e-05,-0.00014462796389125288,0.0023355181328952312,-2.745924361119524,0.9967610650564159,6.0,False
8,0.5081523808412908,-0.3314822774481942,0.839634659732988,0.04510055536518905,-13.108454155753527,0.005208829417824745,0.00534863444045186,0.00042142931488342583,1.4427210999201634e-06,1.425459146275898e-07,-0.0006223602686077356,0.00028162472881376743,0.005042322911322117,0.0046828072518110275,-0.0005045773577876389,-1.1296041435571169e-08,3.8311845855787396e-05,-0.0001450620184186846,0.0023350841365754604,-2.7575603756539984,0.9968707571766187,6.0,False
9,0.48568455335109917,-0.3689276912633995,0.8546122477345702,0.04512191569483364,-12.810717226638562,0.005208829417824745,0.00534863444045186,0.0004216540837660432,1.6674865719323861e-06,3.6731137242895784e-07,-0.0006221354706212878,0.0002818494976963848,0.005042322911322117,0.0046828072518110275,-0.0005045669968239963,-9.613652096618353e-10,3.8322181353578344e-05,-0.00014505168655887246,0.002335094381123781,-2.7576875122008992,0.9968719368775731,6.0,False
10,0.509760111314738,-0.3247018850565438,0.8344619981756605,0.04511370848559828,-12.81004898194468,0.005208829417824745,0.00534863444045186,0.0004256575193721801,5.670921837008791e-06,4.370746864879038e-06,-0.0006181320641189814,0.0002858529333025217,0.005042322911322117,0.0046828072518110275,-0.0005045785801485181,-1.2497747725603858e-08,3.8310645322781056e-05,-0.00014506322622764856,0.002335082972422242,-2.7577661547119434,0.9968726664003601,6.0,False
