Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_excess_vs_equal_weight,train_policy_excess_vs_restricted_random,train_policy_excess_vs_markowitz,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_excess_vs_equal_weight,validation_policy_excess_vs_restricted_random,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,best_epoch_so_far,selected_checkpoint
1,0.8973619233031436,-0.43580263459921165,1.3331645548835098,0.0227183727558496,-12.999621492392604,0.0010404143249616027,0.0032186598982661963,0.0003390337515156716,4.254465935105145e-08,2.0743820641655475e-05,-0.00046129318070597947,-0.0018392117926850915,0.00162507442291826,0.002160254865884781,-0.0005303201614879072,2.1827052165690475e-08,-0.00013395206769928336,-0.0010655004298314452,0.0016334963729605079,-3.0244096076774962,0.998600599071539,1.0,True
2,0.8561629252453434,-0.5304470134216709,1.3866099313656208,0.022712747843933893,-12.806250185792381,0.0010404143249616027,0.0032186598982661963,0.0003390068013686687,1.5585666091055828e-08,2.0716861399705522e-05,-0.00046132015995681286,-0.0018392386846244335,0.00162507442291826,0.002160254865884781,-0.0005303251673467457,1.6790041357239716e-08,-0.00013395710266195238,-0.0010655055521056056,0.0016334913671016693,-3.0243600701551467,0.9986003794932063,1.0,False
3,0.8009207192523179,-0.40215641562031634,1.2030771315027604,0.022713710318096814,-12.804720568572675,0.0010404143249616027,0.0032186598982661963,0.00033900130074471235,1.0109621584319939e-08,2.071138624160085e-05,-0.0004613256314769387,-0.0018392440397292376,0.00162507442291826,0.002160254865884781,-0.0005303285433910787,1.3432032375249037e-08,-0.00013396046415437013,-0.0010655088117346168,0.0016334879910573363,-3.0243800367413,0.9986004680002272,1.0,False
4,0.7987928815949511,-0.40858639803033836,1.2073792858033916,0.022713819586697118,-12.802644181448102,0.0010404143249616027,0.0032186598982661963,0.0003390017373021692,1.0530856187074278e-08,2.0711806428153068e-05,-0.0004613251949194819,-0.001839243806898594,0.00162507442291826,0.002160254865884781,-0.0005303319194354117,1.0074024281436778e-08,-0.00013396381109487265,-0.0010655121877789497,0.0016334846150130033,-3.0243950149715926,0.9986005343917004,1.0,False
5,0.7644302840086821,-0.4665496507648585,1.2309799381434146,0.022714500215663645,-12.802392405812114,0.0010404143249616027,0.0032186598982661963,0.00033899288973771036,1.684936967727424e-09,2.0702960682683624e-05,-0.0004613340424839407,-0.001839252421632409,0.00162507442291826,0.002160254865884781,-0.0005303386133164167,3.358008093812259e-09,-0.00013397053407970816,-0.0010655189398676157,0.0016334778629243374,-3.0244264447010676,0.998600673695541,1.0,False
6,0.7081886136419501,-0.37377332717847206,1.0819619374505483,0.02271394681150381,-12.802106868532718,0.0010404143249616027,0.0032186598982661963,0.0003389924531802535,1.2637026980399924e-09,2.0702538677142e-05,-0.00046133447904139757,-0.0018392530037090182,0.00162507442291826,0.002160254865884781,-0.0005303394864313304,2.5185060703591944e-09,-0.0001339713780907914,-0.0010655197547748685,0.0016334770480170846,-3.024430168054872,0.9986006901974624,1.0,False
7,0.6817813795783916,-0.24822814107924104,0.9300095241679179,0.02271402193928846,-12.801965714624268,0.0010404143249616027,0.0032186598982661963,0.0003389920457266271,8.42468483863712e-10,2.0702118490589783e-05,-0.00046133488649502397,-0.0018392533529549837,0.00162507442291826,0.002160254865884781,-0.0005303419893607497,0.0,-0.0001339738955721259,-0.0010655223159119487,0.0016334744868800044,-3.0244413502700156,0.9986007397560165,1.0,False
8,0.643898050973216,-0.29284150496528905,0.9367395548152138,0.022713676941865185,-12.801839460051664,0.0010404143249616027,0.0032186598982661963,0.0003389922494534403,1.0530856187074278e-09,2.0702329493360594e-05,-0.00046133468276821077,-0.00183925312012434,0.00162507442291826,0.002160254865884781,-0.0005303436773829162,-1.6790040469061296e-09,-0.00013397556904237717,-0.0010655239457264543,0.0016334728570654988,-3.024447409518586,0.9986007666093771,1.0,False
9,0.626878182198611,-0.2278929900101554,0.8547711713575221,0.02271396164575019,-12.801837981800308,0.0010404143249616027,0.0032186598982661963,0.00033899160916917026,4.21234241931856e-10,2.070169648504816e-05,-0.0004613353230524808,-0.001839253818616271,0.00162507442291826,0.002160254865884781,-0.0005303453654050827,-3.358008093812259e-09,-0.00013397724251262844,-0.0010655256919562817,0.0016334711108356714,-3.024454450196221,0.998600797811637,1.0,False
10,0.654309306535058,-0.22721666708430638,0.8815259744618329,0.02271366509684615,-12.801829376265635,0.0010404143249616027,0.0032186598982661963,0.00033899160916917026,4.21234241931856e-10,2.070169648504816e-05,-0.0004613353230524808,-0.001839253818616271,0.00162507442291826,0.002160254865884781,-0.0005303453654050827,-3.358008093812259e-09,-0.00013397724251262844,-0.0010655256919562817,0.0016334711108356714,-3.024454450196221,0.998600797811637,1.0,False
11,0.6623061739513815,-0.2749355908382346,0.9372417634732592,0.022713683795697277,-12.80183512976369,0.0010404143249616027,0.0032186598982661963,0.00033899160916917026,4.21234241931856e-10,2.070169648504816e-05,-0.0004613353230524808,-0.001839253818616271,0.00162507442291826,0.002160254865884781,-0.0005303453654050827,-3.358008093812259e-09,-0.00013397724251262844,-0.0010655256919562817,0.0016334711108356714,-3.024454450196221,0.998600797811637,1.0,False
12,0.6520999236157421,-0.1905324306290759,0.8426323511294398,0.02271364766169774,-12.8018295874444,0.0010404143249616027,0.0032186598982661963,0.00033899160916917026,4.21234241931856e-10,2.070169648504816e-05,-0.0004613353230524808,-0.001839253818616271,0.00162507442291826,0.002160254865884781,-0.0005303436773829162,-1.6790040469061296e-09,-0.00013397556904237717,-0.0010655239457264543,0.0016334728570654988,-3.0244458503958724,0.9986007596997069,1.0,False
