Index,split,baseline_ticker,samples,baseline_mean_raw_return,policy_mean_raw_return,policy_mean_excess_return,t_statistic,p_value,significant_outperformance
0,train,GLD,708,0.003015780516263455,0.0007122371998210411,-0.0023035433164424143,-3.6805725186744818,0.9998747897765956,False
1,train,IEFA,708,0.0005244049480405905,0.0007122371998210411,0.00018783225178045068,1.18749800606516,0.11771502450265187,False
2,train,IVV,708,0.0003747029156334656,0.0007122371998210411,0.0003375342841875755,3.4790843815485455,0.00026698787750300184,True
3,train,QQQ,708,0.0004538765734871902,0.0007122371998210411,0.0002583606263338509,1.4246863965930285,0.07734456454503598,False
4,train,SPY,708,0.00037288051203819317,0.0007122371998210411,0.00033935668778284795,3.470238818471027,0.0002757836833553271,True
5,train,VEA,708,0.0008467876136639698,0.0007122371998210411,-0.0001345504138429286,-0.8918557994755827,0.8136131713265077,False
6,train,VOO,708,0.0003750113780889134,0.0007122371998210411,0.00033722582173212773,3.4659325651232034,0.00028016293164737684,True
7,train,VTI,708,0.00038257030780706027,0.0007122371998210411,0.00032966689201398085,3.505185484943786,0.00024253651848159813,True
8,train,VTV,708,0.0007082084141208627,0.0007122371998210411,4.028785700178416e-06,0.020849035644249676,0.49168598198359154,False
9,train,VUG,708,6.81430943268167e-05,0.0007122371998210411,0.0006440941054942245,3.4031955502014357,0.0003517854775633819,True
10,validation,GLD,177,-0.0025352185728859766,0.0019323445309353414,0.004467563103821318,4.206277786289712,2.0641552366161485e-05,True
11,validation,IEFA,177,0.0015208737998358948,0.0019323445309353414,0.0004114707310994466,0.9430590512050652,0.1734717121038927,False
12,validation,IVV,177,0.002465690259879592,0.0019323445309353414,-0.0005333457289442504,-2.745859483728446,0.9966688777991349,False
13,validation,QQQ,177,0.003832350342960681,0.0019323445309353414,-0.0019000058120253395,-5.871200356212137,0.9999999894579632,False
14,validation,SPY,177,0.002465421533853994,0.0019323445309353414,-0.0005330770029186529,-2.7679364339523715,0.9968774825216752,False
15,validation,VEA,177,0.0020031838093773793,0.0019323445309353414,-7.083927844203799e-05,-0.15277450821282162,0.5606244461252675,False
16,validation,VOO,177,0.002465704066605218,0.0019323445309353414,-0.0005333595356698764,-2.747109289775403,0.996681016508587,False
17,validation,VTI,177,0.0025242068673257774,0.0019323445309353414,-0.000591862336390436,-3.1388321008809683,0.9990053127301297,False
18,validation,VTV,177,0.0013501883226599398,0.0019323445309353414,0.0005821562082754016,1.1625061911404357,0.1233018981910533,False
19,validation,VUG,177,0.0032193270106773593,0.0019323445309353414,-0.001286982479742018,-3.2727380236485755,0.9993589764906367,False
20,all,GLD,885,0.0019055806984335688,0.0009562586660439012,-0.0009493220323896677,-1.7222302224427533,0.957311197502013,False
21,all,IEFA,885,0.0007236987183996513,0.0009562586660439012,0.00023255994764424988,1.51392530183799,0.06520111135570027,False
22,all,IVV,885,0.0007929003844826908,0.0009562586660439012,0.00016335828156121033,1.866267801591859,0.031167423606591246,True
23,all,QQQ,885,0.0011295713273818883,0.0009562586660439012,-0.00017331266133798718,-1.0737145222227484,0.8583781759801072,False
24,all,SPY,885,0.0007913887164013534,0.0009562586660439012,0.00016486994964254778,1.8748208594343048,0.030573446743839203,True
25,all,VEA,885,0.0010780668528066516,0.0009562586660439012,-0.00012180818676275048,-0.8010135767385467,0.7883304899642615,False
26,all,VOO,885,0.0007931499157921742,0.0009562586660439012,0.00016310875025172693,1.8593779740695349,0.03165282102552021,True
27,all,VTI,885,0.0008108976197108037,0.0009562586660439012,0.00014536104633309748,1.7096467618852162,0.043841075006395294,True
28,all,VTV,885,0.0008366043958286781,0.0009562586660439012,0.00011965427021522307,0.6495169032830644,0.25808652520821845,False
29,all,VUG,885,0.0006983798775969252,0.0009562586660439012,0.00025787878844697596,1.495085308682939,0.06762452953841576,False
