Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_excess_vs_equal_weight,train_policy_excess_vs_restricted_random,train_policy_excess_vs_markowitz,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_excess_vs_equal_weight,validation_policy_excess_vs_restricted_random,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,best_epoch_so_far,selected_checkpoint
1,1.0255355132838426,-0.31608368767856876,1.3416192033196572,0.045268312496485684,-13.181764742748886,0.0034970776177942753,0.005664248950779438,0.0003398641711100936,5.095860160508892e-07,6.799256516387686e-05,-0.0004589180462062359,-0.0018273075111210346,0.003931207116693258,0.004464993719011545,-0.0005336892209015787,5.620347565127304e-07,-0.00011573807569220662,-0.001067475532181561,0.001632321742363274,-2.7698280497099224,0.9968947927706687,1.0,False
2,0.8821399307857125,-0.3254695393060897,1.2076094704495985,0.04528500093410244,-12.85283760566496,0.0034970776177942753,0.005664248950779438,0.000339579361025244,2.2478022287941712e-07,6.770776235498488e-05,-0.0004592028562910855,-0.0018275923794135451,0.003931207116693258,0.004464993719011545,-0.0005342243239283562,2.693995249103409e-08,-0.00011627317144302651,-0.0010680106934159994,0.0016317865811288357,-2.773178619411274,0.9969252402337698,1.0,False
3,0.8368877872908856,-0.3076412488343352,1.144529036882907,0.045294872690307894,-12.836005523379914,0.0034970776177942753,0.005664248950779438,0.00034263721317984164,3.2826333153934684e-06,7.076561450958252e-05,-0.00045614500413648784,-0.001824534498155117,0.003931207116693258,0.004464993719011545,-0.0005348415579646826,-5.903216901970154e-07,-0.00011689043458318338,-0.0010686279274523258,0.0016311693470925093,-2.7840894904460245,0.9970225202670103,1.0,False
4,0.8300886086824923,-0.31817730604592015,1.1482659187694053,0.04528755356826014,-12.859025281701385,0.0034970776177942753,0.005664248950779438,0.0003394322993699461,7.770492516101513e-08,6.756068614777178e-05,-0.00045934991794638336,-0.0018277395283803344,0.003931207116693258,0.004464993719011545,-0.000534290331415832,-3.906293244426706e-08,-0.00011633917165454477,-0.0010680767009034753,0.0016317205736413598,-2.7734026573137767,0.996927266418522,1.0,False
5,0.8789383917205078,-0.374852382446413,1.25379077324086,0.045286650964095766,-12.813311280503784,0.0034970776177942753,0.005664248950779438,0.0003393561055418104,1.5153722721095164e-09,6.748449959559366e-05,-0.0004594261117745191,-0.0018278156640008092,0.003931207116693258,0.004464993719011545,-0.0005330786807462573,1.1725613831004011e-06,-0.00011512755008880049,-0.0010668650502339005,0.0016329322243109345,-2.767943461575897,0.9968775469935492,5.0,True
6,0.843961630837392,-0.2375462956852832,1.081507931994853,0.04528387433896631,-12.807311187356206,0.0034970776177942753,0.005664248950779438,0.0003393663791939616,1.1786228881760508e-08,6.749476597178727e-05,-0.00045941583812236786,-0.0018278054194524884,0.003931207116693258,0.004464993719011545,-0.0005343135562725365,-6.229863913631561e-08,-0.00011636241106316447,-0.0010680998675525188,0.0016316974069923162,-2.7734996989132634,0.996928143680217,5.0,False
7,0.8537931290723509,-0.29141578936980944,1.1452089251771485,0.04529598656263055,-12.824654455238816,0.0034970776177942753,0.005664248950779438,0.0003393778169993311,2.323570846840539e-08,6.7506218329072e-05,-0.00045940440031699836,-0.0018277938943356276,0.003931207116693258,0.004464993719011545,-0.0005344307282939553,-1.7948742936368944e-07,-0.00011647959763649851,-0.0010682170977815986,0.0016315801767632365,-2.7739846904415355,0.9969325246234362,5.0,False
8,0.8382214846584083,-0.3945343081055388,1.2327557872917692,0.0452810658804946,-12.841443821535272,0.0034970776177942753,0.005664248950779438,0.00034099456388503313,1.6399695823565708e-06,6.912295066285878e-05,-0.00045778765343129635,-0.001826177234761417,0.003931207116693258,0.004464993719011545,-0.0005342495860531926,1.6837470306896307e-09,-0.00011629842629190534,-0.0010680359555408359,0.0016317613190039992,-2.7732173669917213,0.9969255907512217,5.0,False
9,0.8550250208647238,-0.16430421754465266,1.019329252216102,0.045317167447785196,-13.228837395791954,0.0034970776177942753,0.005664248950779438,0.0003453171520959586,5.962569048278965e-06,7.344555342569947e-05,-0.0004534650652203709,-0.0018218547338619828,0.003931207116693258,0.004464993719011545,-0.0005342616932466626,-1.0439231701298013e-08,-0.00011631054803729057,-0.0010680480627343059,0.0016317492118105292,-2.7733136782965673,0.9969264618430805,5.0,False
10,0.7849354494762959,-0.25108857899062376,1.0360240336865356,0.045264513984238364,-13.048306642952612,0.0034970776177942753,0.005664248950779438,0.0003394114028196782,5.68264617584191e-08,6.753980414941907e-05,-0.0004593708144966513,-0.0018277604831382632,0.003931207116693258,0.004464993719011545,-0.0005446989089250565,-1.0447650311107282e-05,-0.00012674776371568441,-0.0010784852784126997,0.0016213119961321354,-2.81580936222377,0.9972896548847765,5.0,False
