Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_excess_vs_equal_weight,train_policy_excess_vs_restricted_random,train_policy_excess_vs_markowitz,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_excess_vs_equal_weight,validation_policy_excess_vs_restricted_random,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,best_epoch_so_far,selected_checkpoint
1,0.8746182283407263,-0.426383063783559,1.3010012957330428,0.03235063274267884,-13.000010573178319,0.001970913028344512,0.004143514670431614,0.00033927359618246555,2.279531763349496e-08,4.280864595784806e-05,-0.00045994974789209664,-0.0018333279294893146,0.0024877279065549374,0.003034877358004451,-0.0005331508000381291,-1.8746622032494997e-08,-0.00018619914771988988,-0.0010803003096953034,0.0016322318697348237,-3.2795654408934065,0.9994053020241496,1.0,False
2,0.789366773591874,-0.3820992856766694,1.1714660631178848,0.03235448954775403,-12.808165797552114,0.001970913028344512,0.004143514670431614,0.0003392803482711315,2.9531666001503254e-08,4.2815379856619984e-05,-0.0004599429958034307,-0.0018333211774006486,0.0024877279065549374,0.003034877358004451,-0.0005331255961209536,6.489215387261993e-09,-0.00018617390014696866,-0.001080275047570467,0.0016322571318596601,-3.2794167564817402,0.99940500178661,2.0,False
3,0.8364383280577982,-0.35527400609282506,1.191712332240989,0.032352532898230944,-12.805845782205868,0.001970913028344512,0.004143514670431614,0.00033931920188479125,6.83859582295554e-08,4.285423710825853e-05,-0.00045990414218977094,-0.0018332824110984802,0.0024877279065549374,0.003034877358004451,-0.000533177750185132,-4.5664847903026384e-08,-0.00018622605421114713,-0.0010803272016346455,0.0016322049777954817,-3.2797237861563024,0.9994056216149388,2.0,False
4,0.790120127102441,-0.3341673799949265,1.124287502195472,0.032353677364925205,-12.810459848128703,0.001970913028344512,0.004143514670431614,0.00033926349715329707,1.269079685783936e-08,4.2798539652721956e-05,-0.0004599598469212651,-0.0018333380576223135,0.0024877279065549374,0.003034877358004451,-0.0005331390420906246,-6.9698979920929105e-09,-0.0001861873606685549,-0.001080288551747799,0.0016322436276823282,-3.2794970172081603,0.9994051638741084,2.0,False
5,0.7837163372910708,-0.4028385824229715,1.1865549272773965,0.03235669187190224,-12.80331315811419,0.001970913028344512,0.004143514670431614,0.0003392524959053844,1.6840868699574685e-09,4.2787534766830504e-05,-0.00045997084816917777,-0.001833349117077887,0.0024877279065549374,0.003034877358004451,-0.0005331303691491485,1.6823891169082117e-09,-0.00018617871683090925,-0.001080279820598662,0.0016322522424161434,-3.2793986685355785,0.9994049652521177,5.0,False
6,0.7785506426506158,-0.29080335252310263,1.0693539917529171,0.03235484052949428,-12.801895430302164,0.001970913028344512,0.004143514670431614,0.000339252088451758,1.2630650969569501e-09,4.278711276128888e-05,-0.00045997125562280416,-0.0018333494663238525,0.0024877279065549374,0.003034877358004451,-0.0005331322900019586,-2.403413024154588e-10,-0.0001861806376837194,-0.001080281799659133,0.0016322503797709942,-3.2794092891304185,0.9994049867041171,5.0,False
7,0.7894090167448812,-0.19754765924032472,0.9869566755265929,0.03235463169896759,-12.80194653030842,0.001970913028344512,0.004143514670431614,0.0003392545913811773,3.789195179848548e-09,4.2789637518581e-05,-0.0004599687526933849,-0.0018333470216020942,0.0024877279065549374,0.003034877358004451,-0.0005331303691491485,1.6823891169082117e-09,-0.00018617871683090925,-0.001080279820598662,0.0016322522424161434,-3.2793986685355785,0.9994049652521177,5.0,False
8,0.7092299338666991,-0.3119908363626956,1.0212207663311847,0.03235553709111589,-12.802099892878989,0.001970913028344512,0.004143514670431614,0.0003392545913811773,3.789195179848548e-09,4.2789637518581e-05,-0.0004599687526933849,-0.0018333470216020942,0.0024877279065549374,0.003034877358004451,-0.0005331303691491485,1.6823891169082117e-09,-0.00018617871683090925,-0.001080279820598662,0.0016322522424161434,-3.2793986685355785,0.9994049652521177,5.0,False
9,0.6785807159666336,-0.2827495985056389,0.9613303151789876,0.03235505746844799,-12.803349369830489,0.001970913028344512,0.004143514670431614,0.00033926224568858743,1.1427732538038526e-08,4.2797277274075896e-05,-0.00045996109838597476,-0.0018333393381908536,0.0024877279065549374,0.003034877358004451,-0.0005331239080987871,8.17160472621481e-09,-0.0001861722266767174,-0.0010802734177559614,0.0016322587616741657,-3.279364816548864,0.9994048968714139,9.0,True
10,0.6912627498629595,-0.26115001087743267,0.9524127598607576,0.032352635108769,-12.840583732943722,0.001970913028344512,0.004143514670431614,0.000339278660248965,2.784757846541197e-08,4.281369911041111e-05,-0.00045994468382559717,-0.001833322923630476,0.0024877279065549374,0.003034877358004451,-0.0005331424181349576,-1.0334676225909334e-08,-0.00018619073671288788,-0.001080291927792132,0.0016322402516379952,-3.27949816425816,0.9994051661902921,9.0,False
11,0.6696924765102799,-0.2820590178733156,0.9517514922183409,0.03235739366904157,-12.81760930100796,0.001970913028344512,0.004143514670431614,0.00033925333991646767,2.5261301939139003e-09,4.278837513993494e-05,-0.0004599700041580945,-0.0018333481857553124,0.0024877279065549374,0.003034877358004451,-0.0005331337451934814,-1.6823891169082117e-09,-0.000186182078323327,-0.0010802831966429949,0.0016322488663718104,-3.2794172545729294,0.9994050027926377,9.0,False
12,0.6558245760882058,-0.23821399169179913,0.8940385675093481,0.03235482927844094,-12.801840325056244,0.001970913028344512,0.004143514670431614,0.0003392533981241286,2.586276304228363e-09,4.278843698557466e-05,-0.0004599699459504336,-0.0018333481857553124,0.0024877279065549374,0.003034877358004451,-0.0005331322900019586,-2.403413024154588e-10,-0.0001861806376837194,-0.001080281799659133,0.0016322503797709942,-3.2794073796390597,0.9994049828472856,9.0,False
13,0.6719831753931902,-0.25709658274737185,0.9290797605764733,0.03235480987948979,-12.801849827155335,0.001970913028344512,0.004143514670431614,0.0003392562794033438,5.473282271850621e-09,4.2791321902768686e-05,-0.0004599670646712184,-0.0018333452753722668,0.0024877279065549374,0.003034877358004451,-0.000533132057171315,0.0,-0.00018618039030116051,-0.0010802815668284893,0.0016322506126016378,-3.2794062699967585,0.9994049806059958,9.0,False
14,0.6658053638716158,-0.2534859094441719,0.9192912716317009,0.03235507236585006,-12.801907106316776,0.001970913028344512,0.004143514670431614,0.0003392529033590108,2.1051085319356844e-09,4.2787956772372127e-05,-0.0004599704407155514,-0.0018333486514165998,0.0024877279065549374,0.003034877358004451,-0.0005331339780241251,-1.9227304193236705e-09,-0.00018618231115397066,-0.0010802834294736385,0.0016322486335411668,-3.2794168905825396,0.9994050020574623,9.0,False
15,0.6803958197354548,-0.2800471084314567,0.9604429299487356,0.03235537973989091,-12.801914177556812,0.001970913028344512,0.004143514670431614,0.0003392562794033438,5.473282271850621e-09,4.2791321902768686e-05,-0.0004599670646712184,-0.0018333452753722668,0.0024877279065549374,0.003034877358004451,-0.0005331339780241251,-1.9227304193236705e-09,-0.00018618231115397066,-0.0010802834294736385,0.0016322486335411668,-3.2794168905825396,0.9994050020574623,9.0,False
16,0.6587626201473741,-0.26365299091329486,0.9224156093765821,0.0323533739849519,-12.802082335070812,0.001970913028344512,0.004143514670431614,0.000339252088451758,1.2630650969569501e-09,4.278711276128888e-05,-0.00045997125562280416,-0.0018333494663238525,0.0024877279065549374,0.003034877358004451,-0.0005331354332156479,-3.3647782338164234e-09,-0.0001861837663454935,-0.0010802849428728223,0.0016322472365573049,-3.2794248560182577,0.9994050181455832,9.0,False
17,0.6469448778992585,-0.25103046837536286,0.8979753474775405,0.03235538643676746,-12.802121041160298,0.001970913028344512,0.004143514670431614,0.000339252088451758,1.2630650969569501e-09,4.278711276128888e-05,-0.00045997125562280416,-0.0018333494663238525,0.0024877279065549374,0.003034877358004451,-0.000533132057171315,0.0,-0.00018618039030116051,-0.0010802815668284893,0.0016322506126016378,-3.2794062699967585,0.9994049806059958,9.0,False
18,0.6535357145139596,-0.24419299489795018,0.89772870628432,0.03235473737165738,-12.802198867143463,0.001970913028344512,0.004143514670431614,0.0003392512444406748,4.210217174893671e-10,4.278627238818444e-05,-0.0004599720996338874,-0.0018333502812311053,0.0024877279065549374,0.003034877358004451,-0.000533132057171315,0.0,-0.00018618039030116051,-0.0010802815668284893,0.0016322506126016378,-3.2794062699967585,0.9994049806059958,9.0,False
