Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_excess_vs_equal_weight,train_policy_excess_vs_restricted_random,train_policy_excess_vs_markowitz,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_excess_vs_equal_weight,validation_policy_excess_vs_restricted_random,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,best_epoch_so_far,selected_checkpoint
1,0.9319808164038843,-0.44011918763389857,1.3720999979298865,0.03960671508191121,-13.05106759155597,0.0026612139772623777,0.004840062465518713,0.0003390278434380889,3.664737846520438e-08,1.7724956705933437e-05,-0.0004612990887835622,-0.001839820179156959,0.0031327924225479364,0.0036831635516136885,-0.0005303469952195883,-5.037012140718389e-09,-0.0002099323901347816,-0.0010807178914546967,0.0016334694810211658,-3.4944948970372205,0.9997244572088206,1.0,False
2,0.8428576818203336,-0.37520516397885634,1.2180628532234434,0.03961561267451768,-12.811484997348314,0.0026612139772623777,0.004840062465518713,0.0003390305791981518,3.938540160675075e-08,1.7727696103975177e-05,-0.00046129635302349925,-0.0018398173851892352,0.0031327924225479364,0.0036831635516136885,-0.0005303755751810968,-3.358008271447943e-08,-0.00020996092644054443,-0.001080746529623866,0.0016334409592673182,-3.4947052961538145,0.9997246652585555,1.0,False
3,0.8072704390586476,-0.3241501320087657,1.131420576951529,0.03961535429338474,-12.807147322610916,0.0026612139772623777,0.004840062465518713,0.00033912010258063674,1.2889768186141737e-07,1.781720857252367e-05,-0.00046120682964101434,-0.0018397278618067503,0.0031327924225479364,0.0036831635516136885,-0.0005303570651449263,-1.5111035978065956e-08,-0.00020994246006011963,-0.0010807280195876956,0.0016334594693034887,-3.4944446391890565,0.9997244074903892,1.0,False
4,0.7829397668265622,-0.27591188033456937,1.0588516493989386,0.03961487076255121,-12.804125819526377,0.0026612139772623777,0.004840062465518713,0.00033900068956427276,9.47777056836685e-09,1.7697788280202076e-05,-0.00046132627176120877,-0.0018398473039269447,0.0031327924225479364,0.0036831635516136885,-0.0005303419893607497,0.0,-0.00020992735517211258,-0.001080712885595858,0.0016334744868800044,-3.49437606428648,0.9997243396379482,4.0,False
5,0.8141896211848242,-0.39433818855470987,1.2085278126881738,0.039612519169759414,-12.80399622765531,0.0026612139772623777,0.004840062465518713,0.00033901099232025445,1.979800856588554e-08,1.770810740708839e-05,-0.00046131593990139663,-0.0018398369429633021,0.0031327924225479364,0.0036831635516136885,-0.0005303403013385832,1.6790040469061296e-09,-0.0002099256671499461,-0.0010807112557813525,0.0016334762331098318,-3.4943657918972675,0.9997243294724353,5.0,False
6,0.7258136491472224,-0.2610938731225556,0.986907519637064,0.03961448740648507,-12.81435499090188,0.0026612139772623777,0.004840062465518713,0.00033897097455337644,-2.0219243168639878e-08,1.7668091459199786e-05,-0.00046135595766827464,-0.0018398769898340106,0.0031327924225479364,0.0036831635516136885,-0.0005303403013385832,1.6790040469061296e-09,-0.0002099256671499461,-0.0010807112557813525,0.0016334762331098318,-3.4943778147798117,0.9997243413701941,5.0,False
7,0.7419994034320643,-0.28289779525763575,1.0248972002693284,0.039608289997748264,-12.855139846936552,0.0026612139772623777,0.004840062465518713,0.00033899626578204334,5.0548107921599694e-09,1.7693364497972652e-05,-0.0004613306955434382,-0.0018398517277091742,0.0031327924225479364,0.0036831635516136885,-0.0005303352372720838,6.716016187624518e-09,-0.00020992063218727708,-0.0010807061335071921,0.0016334812389686704,-3.4943276950685687,0.9997242917689093,7.0,False
8,0.7185009593677184,-0.27252553108513566,0.9910264939806908,0.03962106490672267,-13.105384776112048,0.0026612139772623777,0.004840062465518713,0.00033900298876687884,1.1794559107158875e-08,1.770010385371279e-05,-0.00046132394345477223,-0.0018398449756205082,0.0031327924225479364,0.0036831635516136885,-0.0005303352372720838,6.716016187624518e-09,-0.00020992063218727708,-0.0010807061335071921,0.0016334812389686704,-3.4943739911416727,0.9997243375864011,7.0,False
9,0.6965292233039128,-0.24399240530843028,0.9405216294548115,0.03962750399860392,-12.944460713821249,0.0026612139772623777,0.004840062465518713,0.0003389954217709601,4.212342474829711e-09,1.769252230587881e-05,-0.00046133153955452144,-0.001839852542616427,0.0031327924225479364,0.0036831635516136885,-0.0005303386133164167,3.358008093812259e-09,-0.00020992399367969483,-0.0010807095095515251,0.0016334778629243374,-3.494364575204968,0.9997243282683784,7.0,False
10,0.687149425593366,-0.24972946304735782,0.936878894116769,0.03965176307421849,-12.871510185538249,0.0026612139772623777,0.004840062465518713,0.00033899288973771036,1.684936967727424e-09,1.7689995729597285e-05,-0.0004613340424839407,-0.0018398551037535071,0.0031327924225479364,0.0036831635516136885,-0.0005303403013385832,1.6790040469061296e-09,-0.0002099256671499461,-0.0010807112557813525,0.0016334762331098318,-3.4943655569793446,0.9997243292399574,7.0,False
