Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,blended_excess_reward
0,0,"CHD,FSLR,FTNT,HAS,HCA,NTAP,PH,SBAC,VRT,VTR",2021-12-17,2021-12-23,1,mean_variance,0.013912639412208957,0.01391291618347168
1,1,"CDNS,CHD,HAS,IBM,IQV,KKR,LH,OMC,SJM,TRV",2025-03-14,2025-03-21,1,equal_weight,-0.0009436491405704435,-0.0009438991546630859
2,2,"BKR,ETR,FITB,GOOG,INTC,KKR,PANW,SATS,TRV,USB",2024-08-16,2024-08-23,1,mean_variance,0.006778782495728419,0.006812930107116699
3,3,"AWK,BF-B,BR,COR,FITB,HON,IBM,PAYX,PSA,TAP",2023-08-11,2023-08-18,1,min_variance,0.0033901665377073513,0.0033912062644958496
4,4,"BIIB,CARR,EXE,HCA,MSI,NI,NWSA,OKE,VTR,XYL",2023-07-28,2023-08-04,1,mean_variance,0.004115780469703314,0.00412440299987793
5,5,"BIIB,CARR,CHD,FCX,MSI,NDAQ,NVR,SATS,VTR,WY",2025-08-08,2025-08-15,1,mean_variance,0.000529877231975811,0.000530242919921875
6,6,"APP,BF-B,ETR,HAS,IBM,INTC,LH,PANW,PSX,TRV",2021-12-10,2021-12-17,1,min_variance,0.007026336863306942,0.007029533386230469
7,7,"AME,ETR,FCX,GPN,HSIC,LH,LLY,SJM,TAP,TMO",2024-11-01,2024-11-08,1,mean_variance,0.010433610548668147,0.010465264320373535
8,8,"BKR,EQIX,ESS,FSLR,NI,NVR,PH,RSG,VST,WFC",2022-06-24,2022-07-01,1,min_variance,0.017433481545108164,0.01743018627166748
9,9,"CPRT,EXE,FITB,FTNT,IBM,LH,SATS,VTR,WDC,WFC",2021-12-23,2021-12-31,1,mean_variance,0.004088664605284096,0.004153847694396973
10,10,"APO,BIIB,CDNS,EXE,HON,LH,USB,VST,WFC,WY",2024-01-12,2024-01-19,1,mean_variance,0.004469996563320189,0.004484891891479492
11,11,"AME,BIIB,FITB,GPN,HAS,NTAP,PH,PSX,RF,TRV",2026-02-20,2026-02-27,1,min_variance,0.019970227593095607,0.019966959953308105
12,12,"APO,CDNS,CHD,GOOG,NDAQ,PH,POOL,RF,STE,TTD",2025-01-03,2025-01-10,1,min_variance,0.006457030720636789,0.006469786167144775
13,13,"AME,CARR,CHD,DHI,ETR,HAS,PAYX,TRV,WY,XYL",2025-02-21,2025-02-28,1,min_variance,0.008490949644632484,0.008487462997436523
14,14,"AME,BF-B,CARR,CMS,IBM,PANW,POOL,PSX,SBAC,STE",2024-12-06,2024-12-13,1,equal_weight,-0.0007509080290548104,-0.0007444024085998535
15,15,"AME,ETR,EXE,IQV,LLY,NI,USB,VRTX,VST,XYL",2025-04-04,2025-04-11,1,equal_weight,-0.0015661095127199414,-0.0014060735702514648
16,16,"ACGL,CDW,CHD,GS,IBM,MSI,PSA,SJM,USB,VRT",2023-12-15,2023-12-22,1,min_variance,2.2040977033591753e-05,3.6716461181640625e-05
17,17,"DHI,FSLR,HSIC,LMT,NI,PSA,PSX,TTD,VST,XYL",2022-02-18,2022-02-25,1,min_variance,4.114455775986243e-05,8.487701416015625e-05
18,18,"EQIX,ES,ESS,IBM,LMT,NDAQ,SJM,TTD,WY,YUM",2025-07-03,2025-07-11,1,mean_variance,0.0004385328168104331,0.0004544258117675781
19,19,"CARR,CDNS,CMS,FCX,FSLR,SATS,VRT,VRTX,VST,WDC",2023-09-01,2023-09-08,1,mean_variance,0.00500092473879282,0.005008280277252197
20,20,"AME,APP,CHD,CMS,HSIC,MAR,NDAQ,OKE,SJM,WFC",2023-11-24,2023-12-01,1,mean_variance,0.014693826005687029,0.014682173728942871
21,21,"APO,CHD,EQIX,ES,IQV,LLY,POOL,SATS,TRV,XYL",2023-04-14,2023-04-21,1,min_variance,0.01169017827199673,0.011682629585266113
22,22,"APP,BF-B,BIIB,BKR,HCA,KKR,PH,SBAC,STE,VST",2022-05-27,2022-06-03,1,mean_variance,0.003047162288627242,0.0030701756477355957
23,23,"CARR,MAR,MCHP,NCLH,NDAQ,NI,POOL,RF,SWK,WFC",2025-11-28,2025-12-05,1,equal_weight,-0.0013830280408917003,-0.0013890266418457031
24,24,"APP,CARR,CDW,DHI,ES,HON,IQV,NCLH,NTAP,XYL",2025-03-28,2025-04-04,1,min_variance,0.017710561846134412,0.017720401287078857
25,25,"CDW,DHI,ETR,LH,NVR,OKE,RF,TMO,VRT,VRTX",2024-08-02,2024-08-09,1,min_variance,-9.278679665111446e-05,-8.869171142578125e-05
26,26,"APA,AWK,CHD,EXE,LH,LLY,NI,POOL,PSA,PSX",2023-06-09,2023-06-16,1,equal_weight,-0.0026792049409864287,-0.0026825666427612305
27,27,"BF-B,CARR,LMT,MDLZ,NCLH,PANW,PSA,VRTX,VST,WDC",2025-06-06,2025-06-13,1,min_variance,0.012418658268821572,0.012466192245483398
28,28,"APO,BF-B,BIIB,ES,MAR,NCLH,PAYX,POOL,TMO,TTD",2024-02-09,2024-02-16,1,equal_weight,-0.0015987945805975368,-0.0016033649444580078
29,29,"EQIX,KKR,LH,LLY,NI,NTAP,PANW,POOL,RSG,TTD",2023-08-18,2023-08-25,1,equal_weight,-0.0022877063358602233,-0.0022891759872436523
30,30,"COR,FTNT,HAS,NDAQ,OKE,OMC,POOL,PSX,RF,TRV",2023-09-01,2023-09-08,1,equal_weight,-0.0011452789994463213,-0.0011450648307800293
31,31,"BF-B,CARR,CDNS,EXE,HAS,IBM,MCHP,PSX,USB,VRT",2022-08-12,2022-08-19,1,min_variance,0.024851567807941233,0.02484762668609619
32,32,"ACGL,CARR,GOOG,HSIC,IBM,NTAP,PH,TAP,VST,WDC",2021-12-17,2021-12-23,1,equal_weight,-0.0013632516183521707,-0.001358628273010254
33,33,"ACGL,APA,BIIB,FCX,IBM,LLY,NVR,PH,STE,XYL",2024-02-23,2024-03-01,1,mean_variance,0.008656386253673444,0.00865030288696289
34,34,"APO,BKR,EXE,GPN,LLY,PANW,PH,SBAC,TMO,VTR",2025-09-26,2025-10-03,1,mean_variance,0.015921676409008618,0.015915989875793457
35,35,"APA,BF-B,CDNS,EQIX,INTC,MSI,NVR,STE,TAP,WY",2021-10-29,2021-11-05,1,equal_weight,-0.002739819523642547,-0.0026459693908691406
36,36,"ACGL,APA,APO,CDNS,NDAQ,SBAC,SJM,VRTX,WFC,WY",2025-08-01,2025-08-08,1,mean_variance,0.030654191264714248,0.03065359592437744
37,37,"APO,BKR,CPRT,IBM,IQV,OKE,PH,SATS,SJM,VTR",2025-06-13,2025-06-20,1,equal_weight,-0.0003091642339171536,-0.0003091096878051758
38,38,"AME,APP,BIIB,CDNS,CMS,ETR,HON,PH,RSG,VST",2022-11-04,2022-11-11,1,equal_weight,-0.001849720121572976,-0.001839280128479004
39,39,"ACGL,APO,BIIB,CHD,COR,GS,HCA,IBM,PANW,SWK",2024-07-12,2024-07-19,1,min_variance,0.000456148288181031,0.0004705190658569336
40,40,"CARR,EQIX,FCX,HSIC,MAR,MCHP,NCLH,SBAC,VRTX,YUM",2022-04-22,2022-04-29,1,mean_variance,0.0032383683950021652,0.003251791000366211
41,41,"BR,CARR,GS,HON,IQV,NWSA,TRV,WDC,WFC,WY",2025-02-14,2025-02-21,1,equal_weight,-0.001711713648510417,-0.0016987323760986328
42,42,"CDNS,CPRT,HAS,NCLH,NDAQ,NTAP,SJM,TTD,VTR,WY",2024-11-08,2024-11-15,1,min_variance,0.0021960761493561576,0.002241194248199463
43,43,"BF-B,FSLR,MAR,MCHP,MSI,NDAQ,NWSA,OMC,PANW,VST",2023-03-17,2023-03-24,1,mean_variance,0.006568773273149134,0.006632566452026367
44,44,"CARR,FTNT,KKR,LH,MDLZ,MSI,POOL,SATS,USB,VRT",2021-11-05,2021-11-12,1,risk_parity,-0.0010733419682983844,-0.0010669231414794922
45,45,"APO,APP,AWK,BKR,GPN,IQV,RSG,TMO,TRV,VST",2026-02-13,2026-02-20,1,equal_weight,-0.0012837539066071577,-0.0012766122817993164
46,46,"AME,APP,EXE,HSIC,PAYX,PH,SJM,TAP,TMO,YUM",2023-08-25,2023-09-01,1,mean_variance,0.023720787478549967,0.023717164993286133
47,47,"AWK,FITB,HON,HSIC,INTC,PH,PSX,RSG,TTD,VST",2025-10-03,2025-10-10,1,min_variance,-0.000696614848884292,-0.0006891489028930664
48,48,"CDW,CMS,HON,IBM,LH,PAYX,TAP,VST,WDC,WFC",2024-09-27,2024-10-04,1,mean_variance,0.035724560098769106,0.035723209381103516
49,49,"APO,BF-B,FITB,GS,HON,IBM,INTC,PSX,SATS,STE",2025-03-21,2025-03-28,1,min_variance,0.01198395258854932,0.011979401111602783
50,50,"APO,CMS,CPRT,ETR,KKR,NCLH,NDAQ,PSA,WDC,WY",2025-02-14,2025-02-21,1,min_variance,0.02262624328054206,0.022638797760009766
51,51,"APP,GS,LLY,NDAQ,NI,NVR,PSA,RF,XYL,YUM",2022-06-17,2022-06-24,1,equal_weight,-0.0013447934609226897,-0.0013446807861328125
52,52,"BR,FCX,GOOG,HON,KKR,NDAQ,NVR,PAYX,SBAC,USB",2023-03-31,2023-04-06,1,mean_variance,0.0009639118268740796,0.0009709596633911133
53,53,"ACGL,AME,CHD,GOOG,GPN,HAS,NI,TMO,VRTX,WDC",2023-09-29,2023-10-06,1,mean_variance,0.027889259962383384,0.027888596057891846
54,54,"ACGL,CARR,CHD,ETR,HCA,MAR,MCHP,MDLZ,PH,WFC",2023-11-17,2023-11-24,1,min_variance,0.003558470048905654,0.0035642385482788086
55,55,"ETR,IQV,KKR,NDAQ,NI,PANW,RSG,SWK,TTD,VST",2021-09-24,2021-10-01,1,min_variance,0.0019078814161876336,0.0019149184226989746
56,56,"BIIB,CDNS,EXE,HAS,NDAQ,PSA,STE,USB,VST,WY",2024-02-16,2024-02-23,1,min_variance,0.011256108056284938,0.011250615119934082
57,57,"ES,FSLR,HON,INTC,SJM,STE,TRV,VRTX,WDC,WFC",2022-04-08,2022-04-14,1,mean_variance,0.0050136528487569176,0.0050185322761535645
58,58,"APA,APO,APP,DHI,GPN,GS,HON,RSG,SWK,VTR",2025-01-17,2025-01-24,1,mean_variance,0.016823872556775088,0.0168226957321167
59,59,"APO,BKR,EQIX,GPN,NVR,OMC,PANW,RF,TTD,VTR",2024-10-04,2024-10-11,1,equal_weight,-0.0026644712384017,-0.0026618242263793945
60,60,"APA,EQIX,ES,GS,HSIC,NDAQ,OKE,PAYX,TMO,WFC",2025-11-21,2025-11-28,1,mean_variance,0.0028922457397334515,0.0028940439224243164
61,61,"BF-B,BKR,CMS,ESS,GPN,HCA,MAR,PANW,TAP,TMO",2025-01-17,2025-01-24,1,min_variance,-0.000398832201700423,-0.00039458274841308594
62,62,"BR,CARR,CMS,ETR,GS,LLY,MSI,PH,TRV,XYL",2023-04-06,2023-04-14,1,equal_weight,-0.002713264917306886,-0.002713918685913086
63,63,"AME,AWK,BF-B,BIIB,BR,COR,FITB,GOOG,MDLZ,WFC",2026-02-06,2026-02-13,1,min_variance,0.0017558297700698544,0.001754164695739746
64,64,"ETR,GOOG,HAS,KKR,LMT,PAYX,TRV,TTD,USB,VTR",2023-06-23,2023-06-30,1,mean_variance,0.006472267137669484,0.006481528282165527
