Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,blended_excess_reward
0,0,"CHD,FSLR,FTNT,HAS,HCA,NTAP,PH,SBAC,VRT,VTR",2021-11-05,2021-11-12,1,min_variance,0.0019827516423877763,0.0019873976707458496
1,1,"CDNS,CHD,HAS,IBM,IQV,KKR,LH,OMC,SJM,TRV",2025-02-28,2025-03-07,1,mean_variance,0.02525367267996867,0.025244295597076416
2,2,"BKR,ETR,FITB,GOOG,INTC,KKR,PANW,SATS,TRV,USB",2024-08-02,2024-08-09,1,min_variance,0.0055059216874993105,0.005511283874511719
3,3,"AWK,BF-B,BR,COR,FITB,HON,IBM,PAYX,PSA,TAP",2023-07-21,2023-07-28,1,mean_variance,0.0021291558359771952,0.0021353960037231445
4,4,"BIIB,CARR,EXE,HCA,MSI,NI,NWSA,OKE,VTR,XYL",2023-07-07,2023-07-14,1,mean_variance,0.017797179598798955,0.017792582511901855
5,5,"BIIB,CARR,CHD,FCX,MSI,NDAQ,NVR,SATS,VTR,WY",2025-08-01,2025-08-08,1,mean_variance,0.0016365043051216155,0.0016416311264038086
6,6,"APP,BF-B,ETR,HAS,IBM,INTC,LH,PANW,PSX,TRV",2021-10-29,2021-11-05,1,equal_weight,-0.0011004306253061646,-0.0011011362075805664
7,7,"AME,ETR,FCX,GPN,HSIC,LH,LLY,SJM,TAP,TMO",2024-10-18,2024-10-25,1,mean_variance,-0.00033129131156360515,-0.0003286600112915039
8,8,"BKR,EQIX,ESS,FSLR,NI,NVR,PH,RSG,VST,WFC",2022-05-20,2022-05-27,1,equal_weight,-0.0015735657609823196,-0.0015680789947509766
9,9,"CPRT,EXE,FITB,FTNT,IBM,LH,SATS,VTR,WDC,WFC",2021-11-12,2021-11-19,1,mean_variance,0.00478983849789308,0.004790008068084717
10,10,"APO,BIIB,CDNS,EXE,HON,LH,USB,VST,WFC,WY",2023-12-22,2023-12-29,1,min_variance,0.00322497976267044,0.0032253265380859375
11,11,"AME,BIIB,FITB,GPN,HAS,NTAP,PH,PSX,RF,TRV",2026-02-20,2026-02-27,1,mean_variance,0.016087957421292858,0.01610720157623291
12,12,"APO,CDNS,CHD,GOOG,NDAQ,PH,POOL,RF,STE,TTD",2024-12-27,2025-01-03,1,mean_variance,0.0011011337625900547,0.0011069774627685547
13,13,"AME,CARR,CHD,DHI,ETR,HAS,PAYX,TRV,WY,XYL",2025-02-07,2025-02-14,1,equal_weight,-0.0016226942583746685,-0.0016208887100219727
14,14,"AME,BF-B,CARR,CMS,IBM,PANW,POOL,PSX,SBAC,STE",2024-11-22,2024-11-29,1,equal_weight,-0.00037942463279364166,-0.0003775358200073242
15,15,"AME,ETR,EXE,IQV,LLY,NI,USB,VRTX,VST,XYL",2025-03-21,2025-03-28,1,mean_variance,0.021867125994762447,0.021865904331207275
16,16,"ACGL,CDW,CHD,GS,IBM,MSI,PSA,SJM,USB,VRT",2023-11-24,2023-12-01,1,mean_variance,0.009472971410963208,0.009464740753173828
17,17,"DHI,FSLR,HSIC,LMT,NI,PSA,PSX,TTD,VST,XYL",2022-01-14,2022-01-21,1,min_variance,0.036607222099449215,0.036606788635253906
18,18,"EQIX,ES,ESS,IBM,LMT,NDAQ,SJM,TTD,WY,YUM",2025-06-27,2025-07-03,1,equal_weight,-0.0010385377581410165,-0.0010385513305664062
19,19,"CARR,CDNS,CMS,FCX,FSLR,SATS,VRT,VRTX,VST,WDC",2023-08-04,2023-08-11,1,mean_variance,0.02110120075169166,0.021117091178894043
20,20,"AME,APP,CHD,CMS,HSIC,MAR,NDAQ,OKE,SJM,WFC",2023-11-03,2023-11-10,1,mean_variance,0.006391680901331576,0.006404519081115723
21,21,"APO,CHD,EQIX,ES,IQV,LLY,POOL,SATS,TRV,XYL",2023-03-17,2023-03-24,1,risk_parity,0.0005271660899089741,0.000552058219909668
22,22,"APP,BF-B,BIIB,BKR,HCA,KKR,PH,SBAC,STE,VST",2022-04-22,2022-04-29,1,mean_variance,0.0033514571071334006,0.003357529640197754
23,23,"CARR,MAR,MCHP,NCLH,NDAQ,NI,POOL,RF,SWK,WFC",2025-11-28,2025-12-05,1,equal_weight,-0.0019175813008840616,-0.0019234418869018555
24,24,"APP,CARR,CDW,DHI,ES,HON,IQV,NCLH,NTAP,XYL",2025-03-14,2025-03-21,1,equal_weight,-0.0025702439847401573,-0.0025599002838134766
25,25,"CDW,DHI,ETR,LH,NVR,OKE,RF,TMO,VRT,VRTX",2024-07-12,2024-07-19,1,mean_variance,0.044309464527770376,0.04430890083312988
26,26,"APA,AWK,CHD,EXE,LH,LLY,NI,POOL,PSA,PSX",2023-05-12,2023-05-19,1,equal_weight,-0.0026358730455379657,-0.0026349425315856934
27,27,"BF-B,CARR,LMT,MDLZ,NCLH,PANW,PSA,VRTX,VST,WDC",2025-05-30,2025-06-06,1,mean_variance,0.035465705014865324,0.03546500205993652
28,28,"APO,BF-B,BIIB,ES,MAR,NCLH,PAYX,POOL,TMO,TTD",2024-01-19,2024-01-26,1,min_variance,0.0005935274883166921,0.0005962848663330078
29,29,"EQIX,KKR,LH,LLY,NI,NTAP,PANW,POOL,RSG,TTD",2023-07-28,2023-08-04,1,min_variance,0.0025521652675820857,0.0025617480278015137
30,30,"COR,FTNT,HAS,NDAQ,OKE,OMC,POOL,PSX,RF,TRV",2023-08-04,2023-08-11,1,equal_weight,-0.0008594412700881889,-0.0008584260940551758
31,31,"BF-B,CARR,CDNS,EXE,HAS,IBM,MCHP,PSX,USB,VRT",2022-07-08,2022-07-15,1,equal_weight,-0.0020933569749616242,-0.0020880699157714844
32,32,"ACGL,CARR,GOOG,HSIC,IBM,NTAP,PH,TAP,VST,WDC",2021-11-12,2021-11-19,1,mean_variance,0.02092837572606464,0.02092301845550537
33,33,"ACGL,APA,BIIB,FCX,IBM,LLY,NVR,PH,STE,XYL",2024-02-09,2024-02-16,1,mean_variance,0.008096088996533187,0.008123397827148438
34,34,"APO,BKR,EXE,GPN,LLY,PANW,PH,SBAC,TMO,VTR",2025-09-19,2025-09-26,1,mean_variance,0.003227325845666419,0.0032390356063842773
35,35,"APA,BF-B,CDNS,EQIX,INTC,MSI,NVR,STE,TAP,WY",2021-09-24,2021-10-01,1,min_variance,-0.00013789308086617475,-0.00012803077697753906
36,36,"ACGL,APA,APO,CDNS,NDAQ,SBAC,SJM,VRTX,WFC,WY",2025-08-01,2025-08-08,1,mean_variance,0.013476943365908873,0.013483762741088867
37,37,"APO,BKR,CPRT,IBM,IQV,OKE,PH,SATS,SJM,VTR",2025-06-06,2025-06-13,1,mean_variance,0.01582094432960545,0.015831410884857178
38,38,"AME,APP,BIIB,CDNS,CMS,ETR,HON,PH,RSG,VST",2022-10-07,2022-10-14,1,mean_variance,0.01162447198343745,0.011620700359344482
39,39,"ACGL,APO,BIIB,CHD,COR,GS,HCA,IBM,PANW,SWK",2024-06-21,2024-06-28,1,mean_variance,-0.00020587870348427436,-0.0001583695411682129
40,40,"CARR,EQIX,FCX,HSIC,MAR,MCHP,NCLH,SBAC,VRTX,YUM",2022-03-18,2022-03-25,1,mean_variance,0.011920120356026366,0.01191401481628418
41,41,"BR,CARR,GS,HON,IQV,NWSA,TRV,WDC,WFC,WY",2025-01-31,2025-02-07,1,mean_variance,0.008205286596132937,0.008211970329284668
42,42,"CDNS,CPRT,HAS,NCLH,NDAQ,NTAP,SJM,TTD,VTR,WY",2024-10-25,2024-11-01,1,mean_variance,0.005688982442200212,0.005715012550354004
43,43,"BF-B,FSLR,MAR,MCHP,MSI,NDAQ,NWSA,OMC,PANW,VST",2023-02-17,2023-02-24,1,mean_variance,0.02411169430958816,0.02411329746246338
44,44,"CARR,FTNT,KKR,LH,MDLZ,MSI,POOL,SATS,USB,VRT",2021-10-01,2021-10-08,1,mean_variance,0.009587578956960082,0.009579777717590332
45,45,"APO,APP,AWK,BKR,GPN,IQV,RSG,TMO,TRV,VST",2026-02-13,2026-02-20,1,equal_weight,-0.0012148766852594019,-0.0012094974517822266
46,46,"AME,APP,EXE,HSIC,PAYX,PH,SJM,TAP,TMO,YUM",2023-07-28,2023-08-04,1,mean_variance,0.007566908158120191,0.007562577724456787
