Date,train_start,train_end,sample_size,objective,success,message,expected_return,expected_volatility,turnover,constraint_violations
2015-07-31,2015-01-05,2015-07-31,145,equal_weight,True,Constructed bounded equal-weight benchmark.,0.031412796587684796,0.09208733760364804,0.0,
2015-08-31,2015-01-05,2015-08-31,166,equal_weight,True,Constructed bounded equal-weight benchmark.,-0.017764761657567206,0.10716227372264638,0.0,
2015-09-30,2015-01-05,2015-09-30,187,equal_weight,True,Constructed bounded equal-weight benchmark.,-0.043183454547136575,0.11464786515221352,0.0,
2015-10-30,2015-01-05,2015-10-30,209,equal_weight,True,Constructed bounded equal-weight benchmark.,0.04763182686903954,0.11393239541380008,0.0,
2015-11-30,2015-01-05,2015-11-30,229,equal_weight,True,Constructed bounded equal-weight benchmark.,0.022079085544916915,0.1120534789124224,0.0,
2015-12-31,2015-01-05,2015-12-31,251,equal_weight,True,Constructed bounded equal-weight benchmark.,0.008850978998029377,0.11552891361437861,0.0,
2016-01-29,2015-01-30,2016-01-29,252,equal_weight,True,Constructed bounded equal-weight benchmark.,-0.023505943990442035,0.1190403321368349,0.0,
2016-02-29,2015-03-02,2016-02-29,252,equal_weight,True,Constructed bounded equal-weight benchmark.,-0.0148663283446383,0.12159018949122145,0.0,
2016-03-31,2015-04-01,2016-03-31,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.04674903820345381,0.1208327815368575,0.0,
2016-04-29,2015-05-01,2016-04-29,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.04490074476784156,0.11966976725113636,0.0,
2016-05-31,2015-06-02,2016-05-31,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.028746476007932044,0.11890721177605101,0.0,
2016-06-30,2015-07-02,2016-06-30,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.06980791861849955,0.1193711534290475,0.0,
2016-07-29,2015-07-31,2016-07-29,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.1170231045116952,0.11840342165428204,0.0,
2016-08-31,2015-09-02,2016-08-31,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.15788053387460071,0.10483154593808941,0.0,
2016-09-30,2015-10-02,2016-09-30,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.16738824250785983,0.10088855117162651,0.0,
2016-10-31,2015-11-02,2016-10-31,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.07756418343335943,0.09863655555038062,0.0,
2016-11-30,2015-12-02,2016-11-30,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.074563572722979,0.09853307991656515,0.0,
2016-12-30,2016-01-04,2016-12-30,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.09792612536756869,0.09113131550645046,0.0,
2017-01-31,2016-02-02,2017-01-31,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.15546880216684794,0.08235010318985583,0.0,
2017-02-28,2016-03-01,2017-02-28,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.16642842620726314,0.07659288854672841,0.0,
2017-03-31,2016-04-04,2017-03-31,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.12667711609128562,0.07293311792206061,0.0,
2017-04-28,2016-04-29,2017-04-28,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.14373819737333335,0.07147845369571479,0.0,
2017-05-31,2016-06-01,2017-05-31,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.15882602076957827,0.06958324713123855,0.0,
2017-06-30,2016-07-01,2017-06-30,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.12248032596805587,0.06844835566912393,0.0,
2017-07-31,2016-08-01,2017-07-31,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.10843327316148003,0.06811235458782848,0.0,
2017-08-31,2016-09-01,2017-08-31,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.13743572230456447,0.07051536096088393,0.0,
2017-09-29,2016-09-30,2017-09-29,252,equal_weight,True,Constructed bounded equal-weight benchmark.,0.12554470125701742,0.06445352795787594,0.0,
