RebalanceDate,train_start,train_end,sample_size,objective,success,message,expected_return,expected_volatility,turnover,constraint_violations
2015-07-31,2015-01-05,2015-07-31,145,mean_variance,True,Optimization terminated successfully,0.163698954333765,0.14070332611348166,0.0,
2015-08-31,2015-01-05,2015-08-31,166,mean_variance,True,Optimization terminated successfully,0.04199154685877258,0.17325959327040827,4.440892098500631e-16,
2015-09-30,2015-01-05,2015-09-30,187,mean_variance,True,Optimization terminated successfully,0.010620766173607096,0.18306620830617168,5.551115123125793e-17,
2015-10-30,2015-01-05,2015-10-30,209,mean_variance,True,Optimization terminated successfully,0.14074796237585271,0.18095177859801287,0.0,
2015-11-30,2015-01-05,2015-11-30,229,mean_variance,True,Optimization terminated successfully,0.13589865452275338,0.17721428280730803,0.0,
2015-12-31,2015-01-05,2015-12-31,251,mean_variance,True,Optimization terminated successfully,0.10954424988573262,0.1790575552510664,0.0,
2016-01-29,2015-01-30,2016-01-29,252,mean_variance,True,Optimization terminated successfully,0.04983271631768654,0.18998005145579305,0.0,
2016-02-29,2015-03-02,2016-02-29,252,mean_variance,True,Optimization terminated successfully,0.032026063241811675,0.14805897554560374,1.0,
2016-03-31,2015-04-01,2016-03-31,252,mean_variance,True,Optimization terminated successfully,0.06394506600160366,0.19863233922435314,1.0,
2016-04-29,2015-05-01,2016-04-29,252,mean_variance,True,Optimization terminated successfully,0.09745651680171054,0.15228702802874522,0.9999999999999998,
2016-05-31,2015-06-02,2016-05-31,252,mean_variance,True,Optimization terminated successfully,0.029741505170752993,0.10755818075616992,0.4213159970925195,
2016-06-30,2015-07-02,2016-06-30,252,mean_variance,True,Optimization terminated successfully,0.135241595907011,0.16516940979122635,0.4213159970925196,
2016-07-29,2015-07-31,2016-07-29,252,mean_variance,True,Optimization terminated successfully,0.22648461643511503,0.16636823769448747,0.0,
2016-08-31,2015-09-02,2016-08-31,252,mean_variance,True,Optimization terminated successfully,0.16884066404082312,0.1786856067836238,0.9999999999999998,
2016-09-30,2015-10-02,2016-09-30,252,mean_variance,True,Optimization terminated successfully,0.17606958585352414,0.10181502536754584,0.6075206115119609,
2016-10-31,2015-11-02,2016-10-31,252,mean_variance,True,Optimization terminated successfully,0.12266503476916046,0.16312897174483976,0.3924793884880391,
2016-11-30,2015-12-02,2016-11-30,252,mean_variance,True,Optimization terminated successfully,0.10225884036817567,0.1660513434254247,0.0,
2016-12-30,2016-01-04,2016-12-30,252,mean_variance,True,Optimization terminated successfully,0.12184660700290906,0.13061289004433302,1.0,
2017-01-31,2016-02-02,2017-01-31,252,mean_variance,True,Optimization terminated successfully,0.1975397737541651,0.1405072343696443,1.0,
2017-02-28,2016-03-01,2017-02-28,252,mean_variance,True,Optimization terminated successfully,0.2568589084114097,0.1253514131617605,0.0,
2017-03-31,2016-04-04,2017-03-31,252,mean_variance,True,Optimization terminated successfully,0.19934819450923613,0.11967486475839997,0.0,
2017-04-28,2016-04-29,2017-04-28,252,mean_variance,True,Optimization terminated successfully,0.2634649284216244,0.11527014383752449,0.0,
2017-05-31,2016-06-01,2017-05-31,252,mean_variance,True,Optimization terminated successfully,0.26397375601821416,0.11312706329324605,0.0,
2017-06-30,2016-07-01,2017-06-30,252,mean_variance,True,Optimization terminated successfully,0.2628441538225704,0.10668472044540521,0.0,
